# frequency_THz	|SZmax(1),Zmax(2)|^2
100.0	2.1903265630555027e-13
100.19999694824219	2.275735472262291e-13
100.4000015258789	2.3370073567152874e-13
100.5999984741211	2.372844109879379e-13
100.80000305175781	2.382779458581527e-13
101.0	2.367146685966495e-13
101.19999694824219	2.3270269616824975e-13
101.4000015258789	2.2641781159952513e-13
101.5999984741211	2.1809454939393587e-13
101.80000305175781	2.0801633503262857e-13
102.0	1.965044073142791e-13
102.19999694824219	1.8390631523090606e-13
102.4000015258789	1.7058420774601558e-13
102.5999984741211	1.5690348190404393e-13
102.80000305175781	1.4322139588277781e-13
103.0	1.298770591436795e-13
103.19999694824219	1.171820894558e-13
103.4000015258789	1.0541276714887988e-13
103.5999984741211	9.480341391920193e-14
103.80000305175781	8.554156044244351e-14
104.0	7.776455076172745e-14
104.19999694824219	7.155798509949709e-14
104.4000015258789	6.695563739870481e-14
104.5999984741211	6.394102478734432e-14
104.80000305175781	6.24503605738019e-14
105.0	6.237674449862488e-14
105.19999694824219	6.357564755889265e-14
105.4000015258789	6.587099834345155e-14
105.5999984741211	6.906214679005392e-14
105.80000305175781	7.29311504918932e-14
106.0	7.725025364035143e-14
106.19999694824219	8.17894517820464e-14
106.4000015258789	8.632355453357562e-14
106.5999984741211	9.063899561823014e-14
106.80000305175781	9.453981500114222e-14
107.0	9.785314450451213e-14
107.19999694824219	1.0043331365330283e-13
107.4000015258789	1.021652929188379e-13
107.5999984741211	1.0296706903197553e-13
107.80000305175781	1.0279059141881312e-13
108.0	1.0162204679178778e-13
108.19999694824219	9.948077605138145e-14
108.4000015258789	9.64174244499217e-14
108.5999984741211	9.251121211748802e-14
108.80000305175781	8.786609559577572e-14
109.0	8.26069171672032e-14
109.19999694824219	7.687469629362317e-14
109.4000015258789	7.082150507817119e-14
109.5999984741211	6.46055461078898e-14
109.80000305175781	5.838607219152862e-14
110.0	5.2318338439247806e-14
110.19999694824219	4.6549046345896615e-14
110.4000015258789	4.121219476576773e-14
110.5999984741211	3.642532810001223e-14
110.80000305175781	3.228656514471834e-14
111.0	2.887226010212008e-14
111.19999694824219	2.6235336536872612e-14
111.4000015258789	2.4404522711048734e-14
111.5999984741211	2.338419665989527e-14
111.80000305175781	2.3155074563804865e-14
112.0	2.3675485400324728e-14
112.19999694824219	2.488333974403183e-14
112.4000015258789	2.6698625753572182e-14
112.5999984741211	2.902630899962698e-14
112.80000305175781	3.1759611423342674e-14
113.0	3.4783530539418934e-14
113.19999694824219	3.7978489469446953e-14
113.4000015258789	4.122396848533228e-14
113.5999984741211	4.4402043398072576e-14
113.80000305175781	4.740075401716549e-14
114.0	5.011719018635996e-14
114.19999694824219	5.2460160665509995e-14
114.4000015258789	5.435250060629582e-14
114.5999984741211	5.5732819601758955e-14
114.80000305175781	5.655678241881233e-14
115.0	5.6797819914751604e-14
115.19999694824219	5.64473596051033e-14
115.4000015258789	5.5514417596661586e-14
115.5999984741211	5.402479269411719e-14
115.80000305175781	5.201978254405631e-14
116.0	4.95544460943572e-14
116.19999694824219	4.669560145011034e-14
116.4000015258789	4.3519472684729695e-14
116.5999984741211	4.010924690865913e-14
116.80000305175781	3.6552374400057613e-14
117.0	3.2938001533426775e-14
117.19999694824219	2.9354319227426385e-14
117.4000015258789	2.5886101704141683e-14
117.5999984741211	2.2612364141718737e-14
117.80000305175781	1.960434489706598e-14
118.0	1.692371209355848e-14
118.19999694824219	1.462114477081191e-14
118.4000015258789	1.2735282726461762e-14
118.5999984741211	1.1292005550668462e-14
118.80000305175781	1.0304177555554414e-14
119.0	9.771710427772017e-15
119.19999694824219	9.682020653307929e-15
119.4000015258789	1.001081598545934e-14
119.5999984741211	1.0723194109802821e-14
119.80000305175781	1.1775004964493405e-14
120.0	1.3114400814549508e-14
120.19999694824219	1.468358734615963e-14
120.4000015258789	1.6420655556161803e-14
120.5999984741211	1.8261444394849882e-14
120.80000305175781	2.014144173124146e-14
121.0	2.199758582793818e-14
121.19999694824219	2.3769995273243864e-14
121.4000015258789	2.5403485718483454e-14
121.5999984741211	2.684896157674894e-14
121.80000305175781	2.806453023729736e-14
122.0	2.901640109145893e-14
122.19999694824219	2.967950569071326e-14
122.4000015258789	3.0037851687102234e-14
122.5999984741211	3.0084609083640334e-14
122.80000305175781	2.982191393053461e-14
123.0	2.926046862047549e-14
123.19999694824219	2.8418889536104837e-14
123.4000015258789	2.7322805736856743e-14
123.5999984741211	2.6003932354625177e-14
123.80000305175781	2.4498854580046244e-14
124.0	2.2847828777234056e-14
124.19999694824219	2.109349948194731e-14
124.4000015258789	1.9279578883201202e-14
124.5999984741211	1.7449587490983982e-14
124.80000305175781	1.564564928193161e-14
125.0	1.3907324037474443e-14
