# frequency_THz	|SZmin(2),Zmin(2)|^2
100.0	0.9999802236659489
100.19999694824219	0.9999806911665078
100.4000015258789	0.999981344834868
100.5999984741211	0.9999819415851187
100.80000305175781	0.9999823691517934
101.0	0.9999829815356005
101.19999694824219	0.9999836586817067
101.4000015258789	0.9999842804074414
101.5999984741211	0.9999845950637797
101.80000305175781	0.9999851136431074
102.0	0.9999856649851773
102.19999694824219	0.9999859132115517
102.4000015258789	0.9999868459478484
102.5999984741211	0.9999873190909478
102.80000305175781	0.9999878611398828
103.0	0.9999879746841914
103.19999694824219	0.9999884913077547
103.4000015258789	0.9999890505172362
103.5999984741211	0.9999894108033929
103.80000305175781	0.9999899255570719
104.0	0.9999901447151739
104.19999694824219	0.9999905717949966
104.4000015258789	0.9999910522551013
104.5999984741211	0.9999912308063906
104.80000305175781	0.9999917147621125
105.0	0.999992042426279
105.19999694824219	0.9999924604730218
105.4000015258789	0.9999927599307564
105.5999984741211	0.9999929384080498
105.80000305175781	0.9999935092139544
106.0	0.9999936654466887
106.19999694824219	0.9999939195621491
106.4000015258789	0.9999942686974209
106.5999984741211	0.9999947055745873
106.80000305175781	0.9999949823274088
107.0	0.9999950991045052
107.19999694824219	0.9999953985558432
107.4000015258789	0.9999955788174324
107.5999984741211	0.9999958759984148
107.80000305175781	0.9999957995922717
108.0	0.9999961831254219
108.19999694824219	0.9999962443536373
108.4000015258789	0.999996561238387
108.5999984741211	0.9999965388256271
108.80000305175781	0.9999968297656424
109.0	0.9999970475060601
109.19999694824219	0.9999970886661282
109.4000015258789	0.9999972898491415
109.5999984741211	0.9999972160599109
109.80000305175781	0.9999975877385002
110.0	0.9999975483906134
110.19999694824219	0.9999977008719875
110.4000015258789	0.9999977366162511
110.5999984741211	0.9999977420752162
110.80000305175781	0.9999979815581883
111.0	0.9999981630810153
111.19999694824219	0.9999980032525662
111.4000015258789	0.9999979614867237
111.5999984741211	0.9999981496711827
111.80000305175781	0.9999981944830304
112.0	0.9999982969702189
112.19999694824219	0.9999981519813019
112.4000015258789	0.9999981567844822
112.5999984741211	0.9999982510403029
112.80000305175781	0.9999981458934178
113.0	0.9999981798988495
113.19999694824219	0.9999983281591831
113.4000015258789	0.9999982502117926
113.5999984741211	0.9999980535916758
113.80000305175781	0.9999979590824104
114.0	0.9999979541540828
114.19999694824219	0.9999980129464493
114.4000015258789	0.9999978897267221
114.5999984741211	0.9999977891344741
114.80000305175781	0.9999977348535583
115.0	0.9999979175905765
115.19999694824219	0.9999977545655101
115.4000015258789	0.9999975877586885
115.5999984741211	0.9999977359713397
115.80000305175781	0.9999974906331096
116.0	0.9999974227859599
116.19999694824219	0.9999972717300415
116.4000015258789	0.9999972880065302
116.5999984741211	0.9999969360050684
116.80000305175781	0.9999969467549485
117.0	0.9999966983002765
117.19999694824219	0.9999967656585689
117.4000015258789	0.9999965584745897
117.5999984741211	0.9999965204484952
117.80000305175781	0.9999962421043768
118.0	0.9999959241741765
118.19999694824219	0.9999960521272415
118.4000015258789	0.9999957918167085
118.5999984741211	0.999995617457988
118.80000305175781	0.9999956433573693
119.0	0.9999953266496959
119.19999694824219	0.9999950793458662
119.4000015258789	0.9999951174288606
119.5999984741211	0.999994853551322
119.80000305175781	0.9999946843244532
120.0	0.9999946099393541
120.19999694824219	0.9999943302815248
120.4000015258789	0.9999942034738503
120.5999984741211	0.9999939655541112
120.80000305175781	0.9999936167324863
121.0	0.9999936921797508
121.19999694824219	0.9999935193666448
121.4000015258789	0.999993291358206
121.5999984741211	0.9999928566754733
121.80000305175781	0.9999927772858975
122.0	0.9999927360796512
122.19999694824219	0.9999925206658745
122.4000015258789	0.9999921513531982
122.5999984741211	0.9999919189877032
122.80000305175781	0.9999917223196064
123.0	0.9999915544096581
123.19999694824219	0.9999916176061632
123.4000015258789	0.9999912700727309
123.5999984741211	0.9999910000167702
123.80000305175781	0.9999907427467357
124.0	0.9999906306421772
124.19999694824219	0.9999903978844715
124.4000015258789	0.9999904031067822
124.5999984741211	0.9999901997549553
124.80000305175781	0.9999898102126474
125.0	0.9999896759115677
125.19999694824219	0.9999895306477135
125.4000015258789	0.9999891317122688
125.5999984741211	0.9999891824353604
125.80000305175781	0.9999890022528533
126.0	0.9999887421774537
126.19999694824219	0.9999881926140722
126.4000015258789	0.9999879538986683
126.5999984741211	0.9999878104621701
126.80000305175781	0.9999879295173492
127.0	0.9999874996082276
127.19999694824219	0.9999874152927691
127.4000015258789	0.9999871681869087
127.5999984741211	0.9999867838107618
127.80000305175781	0.9999867534959117
128.0	0.9999866635329299
128.1999969482422	0.9999864471341269
128.39999389648438	0.9999861145611115
128.60000610351562	0.9999858433707126
128.8000030517578	0.999985796455687
129.0	0.9999855949352571
129.1999969482422	0.9999854896258604
129.39999389648438	0.9999853138515791
129.60000610351562	0.9999852317304602
129.8000030517578	0.9999849742699922
130.0	0.9999845950937959
130.1999969482422	0.9999844435163147
130.39999389648438	0.9999846523132493
130.60000610351562	0.9999842257719321
130.8000030517578	0.9999838090289696
131.0	0.9999838244538779
131.1999969482422	0.999983724495941
131.39999389648438	0.9999836313109683
131.60000610351562	0.9999834228602998
131.8000030517578	0.9999830859074849
132.0	0.9999831074906931
132.1999969482422	0.9999831267726487
132.39999389648438	0.9999828073497748
132.60000610351562	0.9999826625846778
132.8000030517578	0.9999825569961162
133.0	0.9999825402730272
133.1999969482422	0.9999823598716668
133.39999389648438	0.9999821467921954
133.60000610351562	0.9999821007229349
133.8000030517578	0.9999820328490684
134.0	0.9999817265328447
134.1999969482422	0.9999818172605687
134.39999389648438	0.9999817745078374
134.60000610351562	0.999981496172243
134.8000030517578	0.9999814125290883
135.0	0.9999813177825736
135.1999969482422	0.999981085865116
135.39999389648438	0.9999809907694299
135.60000610351562	0.9999808221129776
135.8000030517578	0.9999806917580862
136.0	0.9999807676773892
136.1999969482422	0.9999806889585762
136.39999389648438	0.9999806004608621
136.60000610351562	0.9999804110240155
136.8000030517578	0.9999803858221554
137.0	0.9999803946411846
137.1999969482422	0.9999801738453762
137.39999389648438	0.9999800496396637
137.60000610351562	0.999979960097619
137.8000030517578	0.9999799705902461
138.0	0.9999799494705854
138.1999969482422	0.9999798618705036
138.39999389648438	0.9999797748391259
138.60000610351562	0.9999797193783487
138.8000030517578	0.9999795294811805
139.0	0.9999796351089927
139.1999969482422	0.9999794697044209
139.39999389648438	0.9999793653871905
139.60000610351562	0.9999794197878665
139.8000030517578	0.9999794402322985
140.0	0.9999794384082783
140.1999969482422	0.9999793601011967
140.39999389648438	0.9999791612540321
140.60000610351562	0.9999791037701904
140.8000030517578	0.9999793766587182
141.0	0.9999793164531816
141.1999969482422	0.9999790885586641
141.39999389648438	0.9999792655268109
141.60000610351562	0.999979180262983
141.8000030517578	0.999978971660326
142.0	0.9999792431469955
142.1999969482422	0.9999790772901633
142.39999389648438	0.9999791540366408
142.60000610351562	0.9999789990333525
142.8000030517578	0.9999791633159454
143.0	0.999979019312395
143.1999969482422	0.9999790683272529
143.39999389648438	0.999978881101942
143.60000610351562	0.9999790923486706
143.8000030517578	0.9999791250845432
144.0	0.9999791643254596
144.1999969482422	0.9999790733601266
144.39999389648438	0.9999791561181475
144.60000610351562	0.9999791695487409
144.8000030517578	0.9999791563295766
145.0	0.9999789832422223
145.1999969482422	0.9999790928847753
145.39999389648438	0.9999792652871698
145.60000610351562	0.9999793188052591
145.8000030517578	0.99997924256391
146.0	0.9999792284668452
146.1999969482422	0.9999794649105987
146.39999389648438	0.9999794951404971
146.60000610351562	0.9999792608970354
146.8000030517578	0.9999795240474789
147.0	0.9999793624916188
147.1999969482422	0.9999793614556759
147.39999389648438	0.9999794412769987
147.60000610351562	0.999979683857763
147.8000030517578	0.9999795222230894
148.0	0.9999796984322878
