# frequency_THz	|S|^2
14.9896229	0.0
15.0046125229	4.899999999999998e-131
15.0196021458	4.899999999999998e-131
15.0345917687	4.899999999999998e-131
15.0495813916	4.899999999999998e-131
15.0645710145	4.899999999999998e-131
15.0795606374	4.899999999999998e-131
15.0945502603	4.9e-131
15.1095398832	4.9e-131
15.1245295061	4.9e-131
15.139519129	4.9e-131
15.1545087519	4.899999999999998e-131
15.1694983748	4.9e-131
15.1844879977	4.899999999999998e-131
15.1994776206	4.9e-131
15.2144672435	4.9e-131
15.229456866400001	4.9e-131
15.244446489300001	4.9e-131
15.259436112200001	4.899999999999998e-131
15.274425735100001	4.899999999999998e-131
15.289415358000001	4.899999999999998e-131
15.304404980900001	4.9e-131
15.319394603800001	4.9e-131
15.334384226700001	4.899999999999998e-131
15.349373849600001	4.9e-131
15.364363472500001	4.899999999999998e-131
15.3793530954	4.9e-131
15.3943427183	4.899999999999998e-131
15.4093323412	4.9e-131
15.4243219641	4.899999999999998e-131
15.439311587	4.9e-131
15.4543012099	4.899999999999998e-131
15.4692908328	4.899999999999997e-131
15.4842804557	4.9e-131
15.4992700786	4.899999999999998e-131
15.5142597015	4.9e-131
15.5292493244	4.9e-131
15.5442389473	4.900000000000001e-131
15.5592285702	4.9e-131
15.5742181931	4.9e-131
15.589207816	4.899999999999998e-131
15.6041974389	4.899999999999998e-131
15.6191870618	4.899999999999998e-131
15.6341766847	4.899999999999998e-131
15.6491663076	4.899999999999998e-131
15.6641559305	4.9e-131
15.679145553400001	4.899999999999998e-131
15.694135176300001	4.9e-131
15.709124799200001	4.899999999999997e-131
15.724114422100001	4.9e-131
15.739104045000001	4.899999999999998e-131
15.754093667900001	4.899999999999998e-131
15.769083290800001	4.9e-131
15.784072913700001	4.9e-131
15.799062536600001	4.9e-131
15.814052159500001	4.899999999999998e-131
15.829041782400001	4.9e-131
15.8440314053	4.9e-131
15.8590210282	4.899999999999998e-131
15.8740106511	4.9e-131
15.889000274	4.9e-131
15.9039898969	4.899999999999998e-131
15.9189795198	4.9e-131
15.9339691427	4.899999999999997e-131
15.9489587656	4.899999999999998e-131
15.9639483885	4.9e-131
15.9789380114	4.9e-131
15.9939276343	4.899999999999998e-131
16.0089172572	4.899999999999998e-131
16.0239068801	4.9e-131
16.038896503	4.900000000000001e-131
16.0538861259	4.899999999999998e-131
16.0688757488	4.899999999999998e-131
16.0838653717	3.599999999999998e-131
16.0988549946	3.599999999999999e-131
16.1138446175	3.599999999999999e-131
16.1288342404	3.599999999999999e-131
16.1438238633	3.599999999999999e-131
16.1588134862	3.599999999999999e-131
16.1738031091	3.599999999999999e-131
16.188792732	3.6000000000000004e-131
16.2037823549	3.6000000000000004e-131
16.2187719778	3.599999999999999e-131
16.2337616007	3.599999999999999e-131
16.2487512236	3.6000000000000004e-131
16.2637408465	3.6000000000000004e-131
16.2787304694	3.6000000000000004e-131
16.2937200923	3.599999999999999e-131
