# frequency_THz	|SZmin(1),Zmax(2)|^2
100.0	0.0
100.2	6.399999999999998e-131
100.4	6.399999999999998e-131
100.6	6.399999999999998e-131
100.8	6.4e-131
101.0	6.399999999999998e-131
101.2	6.399999999999998e-131
101.4	6.399999999999998e-131
101.6	6.399999999999998e-131
101.8	6.399999999999998e-131
102.0	6.4e-131
102.2	6.400000000000001e-131
102.4	6.4e-131
102.6	6.399999999999998e-131
102.8	6.399999999999996e-131
103.0	6.399999999999998e-131
103.2	6.4e-131
103.4	6.4e-131
103.6	6.4e-131
103.8	6.399999999999998e-131
104.0	6.399999999999998e-131
104.2	6.4e-131
104.4	6.399999999999998e-131
104.6	6.4e-131
104.8	6.399999999999998e-131
105.0	6.4e-131
105.2	6.399999999999996e-131
105.4	6.4e-131
105.6	6.4e-131
105.8	6.399999999999998e-131
106.0	6.4e-131
106.2	6.400000000000001e-131
106.4	6.4e-131
106.6	6.400000000000001e-131
106.8	6.399999999999998e-131
107.0	6.4e-131
107.2	6.4e-131
107.4	6.400000000000003e-131
107.6	6.4e-131
107.8	6.4e-131
108.0	6.4e-131
108.2	6.399999999999998e-131
108.4	6.4e-131
108.6	6.399999999999998e-131
108.8	6.4e-131
109.0	6.4e-131
109.2	4.9e-131
109.4	4.899999999999998e-131
109.6	4.900000000000001e-131
109.8	4.9e-131
110.0	4.899999999999998e-131
110.2	4.9e-131
110.4	4.9e-131
110.6	4.899999999999998e-131
110.8	4.9e-131
111.0	4.9e-131
111.2	4.899999999999998e-131
111.4	4.9e-131
111.6	4.9e-131
111.8	4.9e-131
112.0	4.899999999999998e-131
112.2	4.9e-131
112.4	4.899999999999998e-131
112.6	4.9e-131
112.8	4.899999999999998e-131
113.0	4.9e-131
113.2	4.899999999999998e-131
113.4	4.900000000000001e-131
113.6	4.899999999999998e-131
113.8	4.9e-131
114.0	4.9e-131
114.2	4.9e-131
114.4	4.9e-131
114.6	4.899999999999997e-131
114.8	4.9e-131
115.0	4.9e-131
115.2	4.899999999999998e-131
115.4	4.899999999999998e-131
115.6	4.899999999999998e-131
115.8	4.9e-131
116.0	4.9e-131
116.2	4.899999999999998e-131
116.4	4.9e-131
116.6	4.899999999999998e-131
116.8	4.9e-131
117.0	4.9e-131
117.2	4.899999999999998e-131
117.4	4.9e-131
117.6	4.899999999999997e-131
117.8	4.899999999999998e-131
118.0	4.9e-131
118.2	4.9e-131
118.39999999999999	0.0
118.6	4.899999999999998e-131
118.8	4.9e-131
119.0	4.899999999999998e-131
119.2	4.9e-131
119.4	4.900000000000001e-131
119.6	4.900000000000001e-131
119.8	4.9e-131
120.0	4.899999999999998e-131
120.2	4.9e-131
120.4	4.900000000000001e-131
120.6	4.9e-131
120.8	4.899999999999998e-131
121.0	4.899999999999998e-131
121.2	4.899999999999998e-131
121.4	4.899999999999998e-131
121.6	4.899999999999998e-131
121.8	4.900000000000001e-131
122.0	4.899999999999998e-131
122.2	4.9e-131
122.4	4.899999999999998e-131
122.6	4.900000000000001e-131
122.8	4.899999999999998e-131
123.0	4.9e-131
123.2	4.899999999999998e-131
123.4	4.899999999999998e-131
123.6	4.9e-131
123.8	4.900000000000001e-131
124.0	4.900000000000001e-131
124.2	4.9e-131
124.4	4.9e-131
124.6	4.9e-131
124.8	4.9e-131
125.0	4.9e-131
125.2	4.9e-131
125.4	4.9e-131
125.6	4.899999999999998e-131
125.8	4.899999999999998e-131
126.0	4.899999999999998e-131
126.2	4.899999999999998e-131
126.4	3.599999999999999e-131
126.6	3.599999999999999e-131
126.8	3.599999999999999e-131
127.0	3.599999999999999e-131
127.2	3.599999999999999e-131
127.4	3.600000000000002e-131
127.6	3.599999999999999e-131
127.8	3.6000000000000004e-131
128.0	3.599999999999999e-131
128.2	3.6000000000000004e-131
128.4	3.6000000000000004e-131
128.6	3.599999999999999e-131
128.8	3.599999999999999e-131
129.0	3.600000000000002e-131
129.2	3.599999999999999e-131
129.4	3.599999999999999e-131
129.6	3.599999999999999e-131
129.8	3.599999999999999e-131
130.0	3.600000000000002e-131
130.2	3.6000000000000004e-131
130.4	3.6000000000000004e-131
130.6	3.6000000000000004e-131
130.8	3.6000000000000004e-131
131.0	3.599999999999999e-131
131.2	3.599999999999999e-131
131.4	3.599999999999999e-131
131.6	3.6000000000000004e-131
131.8	3.6000000000000004e-131
132.0	3.599999999999999e-131
132.2	3.599999999999998e-131
132.4	3.599999999999999e-131
132.6	3.6000000000000004e-131
132.8	3.6000000000000004e-131
133.0	3.6000000000000004e-131
133.2	3.6000000000000004e-131
133.4	3.6000000000000004e-131
133.6	3.600000000000002e-131
133.8	3.599999999999999e-131
134.0	3.599999999999999e-131
134.2	0.0
134.4	3.6000000000000004e-131
134.6	3.599999999999999e-131
134.8	3.599999999999999e-131
135.0	3.599999999999999e-131
135.2	3.599999999999999e-131
135.4	3.599999999999999e-131
135.6	3.599999999999999e-131
135.8	3.6000000000000004e-131
136.0	3.599999999999999e-131
136.2	3.599999999999999e-131
136.4	3.6000000000000004e-131
136.6	3.6000000000000004e-131
136.8	3.599999999999999e-131
137.0	3.599999999999999e-131
137.2	3.599999999999999e-131
137.4	3.6000000000000004e-131
137.6	3.599999999999999e-131
137.8	3.599999999999999e-131
138.0	3.6000000000000004e-131
138.2	3.599999999999999e-131
138.4	3.6000000000000004e-131
138.6	3.6000000000000004e-131
138.8	3.6000000000000004e-131
139.0	3.6000000000000004e-131
139.2	3.6000000000000004e-131
139.4	3.599999999999999e-131
139.6	3.599999999999998e-131
139.8	3.6000000000000004e-131
140.0	3.599999999999999e-131
140.2	2.4999999999999997e-131
140.4	2.4999999999999997e-131
140.6	2.4999999999999997e-131
140.8	2.4999999999999997e-131
141.0	2.4999999999999997e-131
141.2	2.4999999999999997e-131
141.4	2.4999999999999997e-131
141.6	2.4999999999999997e-131
141.8	2.4999999999999997e-131
142.0	2.4999999999999997e-131
142.2	2.4999999999999997e-131
142.4	2.5000000000000007e-131
142.6	2.5000000000000007e-131
142.8	2.4999999999999997e-131
143.0	2.5000000000000007e-131
143.2	2.4999999999999997e-131
143.4	2.5000000000000007e-131
143.6	2.4999999999999987e-131
143.8	2.4999999999999997e-131
144.0	2.5000000000000007e-131
144.2	2.4999999999999997e-131
144.4	2.5000000000000007e-131
144.6	2.4999999999999997e-131
144.8	2.4999999999999997e-131
145.0	2.4999999999999997e-131
145.2	2.5000000000000007e-131
145.4	2.4999999999999997e-131
145.6	2.5000000000000007e-131
145.8	2.4999999999999997e-131
146.0	0.0
146.2	2.5000000000000007e-131
146.4	2.4999999999999997e-131
146.6	2.4999999999999997e-131
146.8	2.4999999999999997e-131
147.0	2.4999999999999997e-131
147.2	2.5000000000000007e-131
147.4	2.5000000000000007e-131
147.6	2.5000000000000007e-131
147.8	2.5000000000000007e-131
148.0	2.5000000000000007e-131
148.2	1.6000000000000002e-131
148.4	1.599999999999999e-131
148.6	1.6000000000000002e-131
148.8	1.6000000000000002e-131
149.0	1.6000000000000002e-131
149.2	1.6e-131
149.4	1.6000000000000002e-131
149.6	1.5999999999999995e-131
149.8	1.6000000000000002e-131
150.0	0.0
150.2	1.6e-131
150.4	1.6e-131
150.6	1.6e-131
150.8	1.6e-131
151.0	1.6e-131
151.2	1.6e-131
151.4	1.6e-131
151.6	1.6e-131
151.8	1.6e-131
152.0	1.6e-131
152.2	1.6000000000000002e-131
152.4	1.6e-131
152.6	1.6e-131
152.8	1.6000000000000002e-131
153.0	1.6e-131
153.2	1.6000000000000007e-131
153.4	1.6e-131
153.6	1.5999999999999995e-131
