# frequency_THz	Absorptance
100.0	0.02621395215370348
100.2	0.026254203396914533
100.4	0.026280039087122398
100.6	0.026305848400603127
100.8	0.02633163144258155
101.0	0.026357388296020412
101.2	0.026383119039822156
101.4	0.026408823751495003
101.6	0.02643450250777868
101.8	0.026460155384864015
102.0	0.026485782458498308
102.2	0.026511383804014188
102.4	0.026536959496358148
102.6	0.026562509610100093
102.8	0.026588034219436674
103.0	0.026613533398208378
103.2	0.026639007219901756
103.4	0.02666445575764398
103.6	0.02668987908421594
103.8	0.02671527727205203
104.0	0.02674065039323925
104.2	0.026765998519526657
104.4	0.026791321722319683
104.6	0.026816620072691255
104.8	0.026841893641380676
105.0	0.02686714249878741
105.2	0.026892366714987515
105.4	0.026917566359730416
105.6	0.026942741502432477
105.8	0.026967892212192646
106.0	0.02699301855778713
106.2	0.027018120607669283
106.4	0.02704319842998082
106.6	0.02706825209254582
106.8	0.027093281662873614
107.0	0.027118287208169667
107.2	0.027143268795322695
107.4	0.02716822649092765
107.6	0.02719316036126962
107.8	0.027218070472343037
108.0	0.027242956889849124
108.2	0.02726781967923453
108.4	0.027292658905700096
108.6	0.027317474634338534
108.8	0.02734226693060149
109.0	0.027367035863486544
109.2	0.02739181910033006
109.4	0.027416503818617488
109.6	0.027441203023951477
109.8	0.02746587910734144
110.0	0.027490532136057455
110.2	0.027515162173501584
110.4	0.027539769282188042
110.6	0.02756435352416986
110.8	0.027588914961169886
111.0	0.02761345365460166
111.2	0.027637969665595175
111.4	0.027662463055002307
111.5	0.027674701285552716
111.6	0.027686933883402598
111.8	0.02771138221110503
112.0	0.02773580809814702
112.2	0.027760211604306417
112.4	0.02778459278909029
112.6	0.027808951711745467
112.8	0.02783328843125321
113.0	0.027857603006336884
113.2	0.027881895495458275
113.4	0.02790616595682316
113.6	0.027930414448376628
113.8	0.0279546410278102
114.0	0.02797884575256404
114.2	0.02800302867982485
114.4	0.028027189866529856
114.6	0.028051329369368938
114.8	0.02807544724478872
115.0	0.028099543548985917
115.2	0.028123618337922207
115.4	0.028147671667319574
115.6	0.028171703592660968
115.8	0.02819571416919553
116.0	0.028219703451940137
116.1	0.028231690125270714
116.2	0.02824367149568341
116.4	0.028267618354991142
116.6	0.028291544084212528
116.8	0.028315448737481264
117.0	0.02833933236874764
117.2	0.028363195031794408
117.4	0.02838703678031651
117.6	0.028410857668076495
117.8	0.028434657749419
118.0	0.0284584370812474
118.2	0.028482195737001614
118.39999999999999	0.02850585925972493
118.6	0.028529650894668857
118.8	0.028553347751191005
119.0	0.028577024083757063
119.2	0.028600679964633557
119.4	0.028624315449198745
119.6	0.02864793058983217
119.8	0.028671525437916512
120.0	0.028695100044317745
120.2	0.02871865445956412
120.375	0.02873924804935879
120.4	0.028742188733907548
120.6	0.028765702917362912
120.8	0.028789197059712168
121.0	0.028812671210526997
121.2	0.028836125419160696
121.4	0.028859559734762508
121.6	0.02888297420628061
121.8	0.02890636888245479
122.0	0.028929743811829445
122.2	0.028953099042746344
122.35	0.02897060256779216
122.4	0.02897643462335331
122.6	0.028999750601600205
122.8	0.029023047025243387
123.0	0.02904632394184803
123.2	0.029069581398781463
123.4	0.029092819443224838
123.6	0.02911603812216801
123.8	0.029139237482414426
124.0	0.02916241757057292
124.2	0.029185578433075454
124.4	0.029208720116159603
124.6	0.029231842665886187
124.8	0.02925494612812707
125.0	0.02927803054857714
125.2	0.029301095972745883
125.4	0.029324142445960488
125.6	0.02934717001337861
125.8	0.029370178719969164
126.0	0.029393168610533427
126.2	0.029416139729690483
126.3	0.02942761826388751
126.4	0.029439092121886667
126.6	0.0294620258313949
126.8	0.029484940902312573
127.0	0.029507837378566437
127.2	0.02953071530390583
127.4	0.02955357472190079
127.6	0.0295764156759456
127.8	0.029599238209234824
128.0	0.029622042364770285
128.2	0.02964482818536074
128.275	0.029653368149806902
128.4	0.029667595713626427
128.6	0.02969034499206502
128.8	0.02971307606309359
129.0	0.029735788969066035
129.2	0.02975848375222967
129.4	0.029781160454651512
129.6	0.029803819118181085
129.8	0.029826459784450865
130.0	0.029849082494897816
130.2	0.029871687290785487
130.25	0.02987733569542772
130.4	0.029894274213214667
130.6	0.02991684330313371
130.8	0.029939394601340985
131.0	0.029961928148481753
131.2	0.029984443985058506
131.4	0.030006942151418192
131.6	0.03002942268776776
131.8	0.030051885634165276
132.0	0.03007433103052093
132.2	0.03009675891661545
132.4	0.030119169332086693
132.6	0.030141562316452597
132.8	0.030163937909119753
133.0	0.030186296149428693
133.2	0.03020863707671817
133.4	0.030230960730518563
133.6	0.030253267151105878
133.8	0.030275556381738955
134.0	0.03029782848429652
134.2	0.03032018182339169
134.4	0.030342321083259183
134.6	0.030364541936887757
134.8	0.030386745752273292
135.0	0.030408932590539672
135.2	0.030431102493949536
135.4	0.030453255501513454
135.6	0.03047539165121027
135.8	0.030497510980540543
136.0	0.030519613526729383
136.175	0.03053893951632447
136.2	0.03054169932678874
136.4	0.030563768417553816
136.6	0.030585820835702826
136.8	0.030607856617765772
137.0	0.030629875800131212
137.2	0.030651878419048817
137.4	0.030673864510629256
137.6	0.030695834110854303
137.8	0.030717787255569062
138.0	0.030739723980489075
138.15	0.030756165770099875
138.2	0.03076164432119788
138.4	0.03078354831315333
138.6	0.03080543599167984
138.8	0.030827307391978365
139.0	0.030849162549122178
139.2	0.030871001498060435
139.4	0.03089282427362028
139.6	0.03091463091050628
139.8	0.030936421443304996
140.0	0.03095819590648108
140.2	0.03097995433438805
140.4	0.031001696761260078
140.6	0.031023423221214652
140.8	0.03104513374825635
141.0	0.031066828376265843
141.2	0.031088507139002908
141.4	0.031110170070103083
141.6	0.031131817203078782
141.8	0.031153448571310194
142.0	0.031175064208056824
142.1	0.0311858661374822
142.2	0.031196664146453168
142.4	0.031218248419514483
142.6	0.031239817060134345
142.8	0.03126137010109564
143.0	0.03128290757506269
143.2	0.03130442951458967
143.4	0.031325935952117634
143.6	0.03134742691998016
143.8	0.031368902450398806
144.0	0.031390362575484
144.075	0.0313984061572401
144.2	0.031411807327240915
144.4	0.0314332367375576
144.6	0.03145465083822252
144.8	0.031476049660906336
145.0	0.03149743323717791
145.2	0.03151880159849485
145.4	0.03154015477620464
145.6	0.031561492801551405
145.8	0.031582815705665235
146.0	0.031604123519574534
146.05	0.031609448118833594
146.2	0.03162541627419757
146.4	0.0316466940003457
146.6	0.031667956728718916
146.8	0.03168920448991175
147.0	0.03171043731441037
147.2	0.03173165523258903
147.4	0.031752858274703755
147.6	0.031774046470902984
147.8	0.031795219851206036
148.0	0.031816378445497895
148.2	0.031837522283524544
148.4	0.03185865139484778
148.6	0.03187976580880947
148.8	0.03190086555442184
149.0	0.03192195066015946
149.2	0.03194302115341463
149.4	0.031964077058896145
149.6	0.03198511839223106
149.8	0.032006145115157314
150.0	0.03202845547020272
150.2	0.03204815592031529
150.4	0.03206913925409827
150.6	0.032090108272529894
150.8	0.032111062938087076
151.0	0.032132003267259956
151.2	0.032152929285074405
151.4	0.03217384101809306
151.6	0.03219473849280319
151.8	0.03221562173565751
152.0	0.03223649077343027
152.2	0.032257345633316836
152.4	0.03227818634281754
152.45	0.03228339431243277
152.6	0.032299012929577486
152.8	0.0323198254212802
153.0	0.032340623845567906
153.2	0.03236140823001199
153.4	0.03238217860209902
153.6	0.03240293498921476
153.8	0.03242367741865548
154.0	0.032444405917618324
154.2	0.03246512051320971
154.4	0.032485821232440815
154.6	0.032506508102235765
154.8	0.03252718114942621
154.9	0.032537512497904375
155.0	0.032547840400753314
155.2	0.03256848588287575
155.4	0.0325891176223585
155.6	0.03260973564568559
155.8	0.03263033997925635
156.0	0.03265093064937574
156.2	0.03267150768227378
156.4	0.03269207110409289
156.6	0.032712620940891335
156.8	0.03273315721864367
157.0	0.032753679963242854
157.2	0.032774189200500126
157.35	0.03278956227972796
157.4	0.03279468495614024
157.6	0.03281516725581157
157.8	0.032835636125076006
158.0	0.032856091589418046
158.2	0.032876533674236486
158.4	0.03289696240484985
158.6	0.032917377806493286
158.8	0.03293777990431279
159.0	0.032958168723357884
159.2	0.03297854428854752
159.4	0.032998906624553515
159.6	0.033019255754923704
159.8	0.03303974848365909
160.0	0.0330599145186119
160.2	0.03308022418561429
160.4	0.03310052074908898
160.6	0.03312080423219643
160.8	0.03314107465906768
161.0	0.033161332053928905
161.2	0.03318157644098585
161.4	0.03320180784438187
161.6	0.033222026288198814
161.8	0.03324223179644459
162.0	0.03326242439305749
162.2	0.033282604101902424
162.25	0.03328764701818998
162.4	0.03330277094677303
162.6	0.03332292495138789
162.8	0.03334306613939775
163.0	0.03336319453437475
163.2	0.033383310159825985
163.4	0.03340341303917915
163.6	0.03342350319579768
163.8	0.033443580652971816
164.0	0.03346364543391689
164.2	0.03348369756178238
164.4	0.033503737059647154
164.60000000000002	0.033523763950515706
164.7	0.0335337726754984
164.8	0.033543778257328793
165.0	0.03356378000295246
165.2	0.0335837692101868
165.4	0.03360374590176207
165.60000000000002	0.0336237101003406
165.8	0.033643661828514304
166.0	0.03366360110880928
166.2	0.0336835279636819
166.4	0.03370344241552259
166.60000000000002	0.033723344486653484
166.8	0.03374323419933001
167.0	0.03376311157573886
167.15	0.03377801152567961
167.2	0.03378297663800156
167.4	0.03380282940817125
167.60000000000002	0.03382266990823379
167.8	0.033842498160106094
168.0	0.03386231418564001
168.2	0.03388211800660568
168.4	0.03390190964470363
168.60000000000002	0.033921689121536036
168.8	0.033941456458580266
169.0	0.03396121167708144
169.2	0.033980954797629526
169.4	0.034000685837214495
169.6	0.03401992482698257
169.8	0.03404011182958244
170.0	0.034059806771810974
170.2	0.03407948972988584
170.4	0.034099160720485355
170.60000000000002	0.03411881976375919
170.8	0.03413846688038635
171.0	0.034158102091152553
171.2	0.03417772541684294
171.4	0.03419733687821069
171.60000000000002	0.03421693649595858
171.8	0.034236524290733095
171.9	0.03424631376094145
172.0	0.034256100283123314
172.2	0.034275664493649605
172.4	0.0342952169427706
172.60000000000002	0.034314757650866
172.8	0.03433428663822968
173.0	0.03435380392504184
173.2	0.03437330953132456
173.4	0.03439280347679363
173.60000000000002	0.03441228578048394
173.8	0.03443175645913632
174.0	0.034451215516096534
174.2	0.03447091832537785
174.4	0.03449009911164169
174.60000000000002	0.03450952348983549
174.8	0.03452893637034471
175.0	0.034548337756230785
175.2	0.03456772766384575
175.4	0.034587106111705124
175.60000000000002	0.03460647311890275
175.8	0.03462582870472053
176.0	0.0346451728884859
176.2	0.03466450568952695
176.4	0.03468382712714635
176.60000000000002	0.03470313722060603
176.8	0.03472243598912961
176.85	0.034727258913986314
177.0	0.03474172345188875
177.2	0.03476099962800838
177.4	0.03478026453656424
177.60000000000002	0.03479951819658156
177.8	0.034818760627033596
178.0	0.03483799184684533
178.2	0.03485721187489088
178.4	0.034876420729990976
178.60000000000002	0.03489561843092104
178.8	0.03491480499640631
179.0	0.03493398044511886
179.2	0.034953144795684676
179.4	0.034972298066675234
179.5	0.03498187055312052
179.60000000000002	0.034991440276613384
179.8	0.035010571443968685
180.0	0.0350296915871543
180.2	0.035048800724534646
180.4	0.03506789887441186
180.60000000000002	0.035086986055031466
180.8	0.03510606228458668
181.0	0.03512512758120967
181.2	0.03514418196297986
181.4	0.035163225447923274
181.60000000000002	0.035182258054008875
181.8	0.03520127979916732
182.0	0.035220290701270085
182.15	0.035234541772821926
182.2	0.035239290778151466
182.4	0.03525828004759746
182.60000000000002	0.03527725852735564
182.8	0.03529622623513107
183.0	0.03531518318858973
183.2	0.03533412940536673
183.4	0.03535306490306789
183.60000000000002	0.035371989699288564
183.8	0.035390903811646224
184.0	0.035409807257864356
184.2	0.035428700056028606
184.4	0.03544758222560418
184.60000000000002	0.03546645379456803
184.8	0.035485661553764536
185.0	0.03550416502848053
185.2	0.035523004856001905
185.4	0.035541834123064664
