# frequency_THz	|S|^2
14.9896229	1.6204181140781772e-06
15.0046125229	1.6903722848431406e-06
15.0196021458	1.7636957708105454e-06
15.0345917687	1.8404829764778162e-06
15.0495813916	1.9208287153599454e-06
15.0645710145	2.0048279594543092e-06
15.0795606374	2.092575551832276e-06
15.0945502603	2.1841658785285455e-06
15.1095398832	2.2796924956613815e-06
15.1245295061	2.379247707491312e-06
15.139519129	2.4829220909214662e-06
15.1545087519	2.5908039617669325e-06
15.1694983748	2.7029787779859237e-06
15.1844879977	2.8195284749826684e-06
15.1994776206	2.9405307280782783e-06
15.2144672435	3.0660581373158914e-06
15.229456866400001	3.196177329941338e-06
15.244446489300001	3.33094797620139e-06
15.259436112200001	3.470421714553664e-06
15.274425735100001	3.6146409830099698e-06
15.289415358000001	3.7636377541703775e-06
15.304404980900001	3.917432172574683e-06
15.319394603800001	4.0760310943364304e-06
15.334384226700001	4.239426530660631e-06
15.349373849600001	4.407593998810241e-06
15.364363472500001	4.5804907864076006e-06
15.3793530954	4.758054137653842e-06
15.3943427183	4.940199373140871e-06
15.4093323412	5.126817958418016e-06
15.4243219641	5.3177755403536176e-06
15.439311587	5.5129099745724835e-06
15.4543012099	5.712029371807947e-06
15.4692908328	5.914910195810866e-06
15.4842804557	6.121295450406453e-06
15.4992700786	6.330892998251061e-06
15.5142597015	6.543374058647402e-06
15.5292493244	6.758371936226262e-06
15.5442389473	6.975481036154948e-06
15.5592285702	7.194256224518099e-06
15.5742181931	7.414212594336732e-06
15.589207816	7.63482569803311e-06
15.6041974389	7.855532305692226e-06
15.6191870618	8.075731744912271e-06
15.6341766847	8.294787872104982e-06
15.6491663076	8.51203171658969e-06
15.6641559305	8.726764827595212e-06
15.679145553400001	8.938263340323685e-06
15.694135176300001	9.145782760658957e-06
15.709124799200001	9.348563449195307e-06
15.724114422100001	9.545836764463052e-06
15.739104045000001	9.736831803157292e-06
15.754093667900001	9.920782652616454e-06
15.769083290800001	1.0096936048674836e-05
15.784072913700001	1.0264559311359282e-05
15.799062536600001	1.0422948412796482e-05
15.814052159500001	1.0571436017216592e-05
15.829041782400001	1.0709399323068419e-05
15.8440314053	1.083626753283271e-05
15.8590210282	1.0951528777731263e-05
15.8740106511	1.1054736332495422e-05
15.889000274	1.1145513969653391e-05
15.9039898969	1.1223560323052131e-05
15.9189795198	1.1288652155824241e-05
15.9339691427	1.1340646457714435e-05
15.9489587656	1.1379481329309621e-05
15.9639483885	1.1405175644816996e-05
15.9789380114	1.1417827519070872e-05
15.9939276343	1.1417611636915268e-05
16.0089172572	1.1404775532613327e-05
16.0239068801	1.1379634932293678e-05
16.038896503	1.134256829274754e-05
16.0538861259	1.1294010684537728e-05
16.0688757488	1.1234447176112538e-05
16.0838653717	1.1164405878484727e-05
16.0988549946	1.1084450807394723e-05
16.1138446175	1.0995174712317971e-05
16.1288342404	1.0897192009975207e-05
16.1438238633	1.0791131945058089e-05
16.1588134862	1.0677632083632498e-05
16.1738031091	1.055733222606523e-05
16.188792732	1.0430868807211505e-05
16.2037823549	1.0298869832782766e-05
16.2187719778	1.0161950382926843e-05
16.2337616007	1.0020708697622326e-05
16.2487512236	9.875722843871708e-06
16.2637408465	9.727547952109564e-06
16.2787304694	9.576713998832886e-06
16.2937200923	9.423724104206518e-06
16.3087097152	9.269053307212552e-06
16.3236993381	9.113147776650792e-06
16.338688961	8.956424413756906e-06
16.3536785839	8.799270801162273e-06
16.368668206800002	8.642045453141064e-06
16.3836578297	8.485078323335772e-06
16.398647452600002	8.328671528200724e-06
16.4136370755	8.17310024704805e-06
16.428626698400002	8.01861376262904e-06
16.443616321300002	7.865436609489534e-06
16.458605944200002	7.713769800748484e-06
16.473595567100002	7.563792107371126e-06
16.488585190000002	7.415661367339921e-06
16.503574812900002	7.269515805313546e-06
16.518564435800002	7.12547534635024e-06
16.533554058700002	6.983642910031983e-06
16.5485436816	6.8441056738365644e-06
16.5635333045	6.706936296862327e-06
16.5785229274	6.572194097013169e-06
16.5935125503	6.439926176508761e-06
16.6085021732	6.310168492107979e-06
16.6234917961	6.182946867738278e-06
16.638481419	6.058277948327241e-06
16.6534710419	5.936170094553808e-06
16.6684606648	5.816624218994167e-06
16.6834502877	5.699634564749317e-06
16.6984399106	5.585189428126392e-06
16.7134295335	5.4732718273194705e-06
16.7284191564	5.363860119314625e-06
16.7434087793	5.256928567441053e-06
16.7583984022	5.152447862119605e-06
16.7733880251	5.0503855974316346e-06
16.788377648	4.950706706156681e-06
16.8033672709	4.85337385591396e-06
16.8183568938	4.758347808999654e-06
16.8333465167	4.665587748444267e-06
16.8483361396	4.5750515727292154e-06
16.8633257625	4.486696161502539e-06
16.8783153854	4.400477614525523e-06
16.8933050083	4.316351465967459e-06
16.9082946312	4.234272876048108e-06
16.9232842541	4.154196801908293e-06
16.938273877	4.076078149471206e-06
