# frequency_THz	|SZmin(2),Zmax(2)|^2
116.6	9.610000000000001e-130
116.8	9.610000000000003e-130
117.0	9.610000000000003e-130
117.2	9.609999999999998e-130
117.4	9.000000000000005e-130
117.6	9e-130
117.8	8.999999999999997e-130
118.0	9e-130
118.2	9.000000000000003e-130
118.39999999999999	0.0
118.6	9e-130
118.8	9.000000000000008e-130
119.0	9e-130
119.2	9e-130
119.4	8.410000000000002e-130
119.6	8.410000000000002e-130
119.8	8.410000000000007e-130
120.0	8.410000000000002e-130
120.2	8.410000000000002e-130
120.375	0.0
120.4	8.410000000000008e-130
120.6	8.410000000000003e-130
120.8	8.410000000000008e-130
121.0	8.410000000000002e-130
121.2	8.410000000000008e-130
121.4	7.840000000000002e-130
121.6	7.839999999999997e-130
121.8	7.84e-130
122.0	7.840000000000002e-130
122.2	7.840000000000005e-130
122.35	0.0
122.4	7.84e-130
122.6	7.839999999999994e-130
122.8	7.840000000000002e-130
123.0	7.839999999999997e-130
123.2	7.840000000000002e-130
123.4	7.84e-130
123.6	7.840000000000002e-130
123.8	7.84e-130
124.0	7.840000000000002e-130
124.2	7.839999999999997e-130
124.4	7.289999999999999e-130
124.6	7.290000000000004e-130
124.8	7.290000000000005e-130
125.0	7.290000000000004e-130
125.2	7.290000000000002e-130
125.4	7.289999999999999e-130
125.6	7.290000000000009e-130
125.8	7.289999999999997e-130
126.0	7.290000000000004e-130
126.2	7.290000000000002e-130
126.3	0.0
126.4	7.289999999999999e-130
126.6	7.290000000000002e-130
126.8	7.290000000000004e-130
127.0	7.290000000000004e-130
127.2	7.290000000000002e-130
127.4	6.7600000000000024e-130
127.6	6.7599999999999984e-130
127.8	6.7600000000000024e-130
128.0	6.760000000000001e-130
128.2	6.7599999999999984e-130
128.275	0.0
128.4	6.760000000000001e-130
128.6	6.760000000000005e-130
128.8	6.760000000000007e-130
129.0	6.7600000000000024e-130
129.2	6.7599999999999984e-130
129.4	6.250000000000002e-130
129.6	6.250000000000002e-130
129.8	6.250000000000002e-130
130.0	6.250000000000002e-130
130.2	6.249999999999997e-130
130.25	0.0
130.4	6.2499999999999995e-130
130.6	6.250000000000002e-130
130.8	6.250000000000002e-130
131.0	6.249999999999997e-130
131.2	6.249999999999997e-130
131.4	6.250000000000002e-130
131.6	6.249999999999997e-130
131.8	6.2499999999999995e-130
132.0	6.2499999999999995e-130
132.2	6.2500000000000035e-130
132.4	5.759999999999998e-130
132.6	5.760000000000005e-130
132.8	5.760000000000001e-130
133.0	5.760000000000003e-130
133.2	5.759999999999993e-130
133.4	5.759999999999997e-130
133.6	5.760000000000001e-130
133.8	5.759999999999998e-130
134.0	5.760000000000003e-130
134.2	0.0
134.4	5.760000000000005e-130
134.6	5.759999999999998e-130
134.8	5.760000000000001e-130
135.0	5.759999999999997e-130
135.2	5.2899999999999996e-130
135.4	5.2899999999999996e-130
135.6	5.2899999999999996e-130
135.8	5.2899999999999996e-130
136.0	5.2899999999999996e-130
136.175	0.0
136.2	5.2899999999999996e-130
136.4	5.290000000000002e-130
136.6	5.2899999999999996e-130
136.8	5.290000000000002e-130
137.0	5.289999999999998e-130
137.2	4.840000000000001e-130
137.4	4.840000000000001e-130
137.6	4.839999999999997e-130
137.8	4.840000000000001e-130
138.0	4.839999999999999e-130
138.15	0.0
138.2	4.840000000000001e-130
138.4	4.839999999999999e-130
138.6	4.840000000000001e-130
138.8	4.839999999999999e-130
139.0	4.839999999999999e-130
139.2	4.839999999999999e-130
139.4	4.840000000000001e-130
139.6	4.8400000000000024e-130
139.8	4.840000000000001e-130
140.0	4.839999999999999e-130
140.2	4.410000000000002e-130
140.4	4.409999999999998e-130
140.6	4.409999999999998e-130
140.8	4.409999999999998e-130
141.0	4.409999999999998e-130
141.2	4.409999999999998e-130
141.4	4.41e-130
141.6	4.41e-130
141.8	4.409999999999998e-130
142.0	4.41e-130
142.1	0.0
142.2	4.41e-130
142.4	4.41e-130
142.6	4.409999999999998e-130
142.8	4.41e-130
143.0	4.409999999999998e-130
143.2	3.999999999999998e-130
