# frequency_THz	|SZmin(1),Zmax(2)|^2
100.0	0.0
100.2	3.599999999999999e-131
100.4	3.6000000000000004e-131
100.6	3.6000000000000004e-131
100.8	3.6000000000000004e-131
101.0	3.6000000000000004e-131
101.2	3.6000000000000004e-131
101.4	3.6000000000000004e-131
101.6	3.599999999999999e-131
101.8	3.6000000000000004e-131
102.0	3.6000000000000004e-131
102.2	3.6000000000000004e-131
102.4	3.599999999999999e-131
102.6	3.599999999999999e-131
102.8	3.599999999999999e-131
103.0	3.599999999999999e-131
103.2	3.6000000000000004e-131
103.4	3.599999999999999e-131
103.6	3.599999999999999e-131
103.8	3.6000000000000004e-131
104.0	3.599999999999999e-131
104.2	3.6000000000000004e-131
104.4	3.599999999999999e-131
104.6	3.6000000000000004e-131
104.8	3.599999999999999e-131
105.0	3.6000000000000004e-131
105.2	3.599999999999999e-131
105.4	3.6000000000000004e-131
105.6	3.6000000000000004e-131
105.8	3.599999999999999e-131
106.0	3.599999999999999e-131
106.2	3.6000000000000004e-131
106.4	3.599999999999999e-131
106.6	3.600000000000002e-131
106.8	3.599999999999999e-131
107.0	3.599999999999999e-131
107.2	3.6000000000000004e-131
107.4	3.6000000000000004e-131
107.6	3.6000000000000004e-131
107.8	3.6000000000000004e-131
108.0	3.6000000000000004e-131
108.2	3.599999999999999e-131
108.4	3.6000000000000004e-131
108.6	3.6000000000000004e-131
108.8	3.599999999999999e-131
109.0	3.6000000000000004e-131
109.2	2.5000000000000007e-131
109.4	2.4999999999999997e-131
109.6	2.5000000000000007e-131
109.8	2.4999999999999997e-131
110.0	2.5000000000000007e-131
110.2	2.4999999999999997e-131
110.4	2.4999999999999997e-131
110.6	2.4999999999999997e-131
110.8	2.5000000000000007e-131
111.0	2.4999999999999997e-131
111.2	2.4999999999999997e-131
111.4	2.5000000000000007e-131
111.6	2.5000000000000007e-131
111.8	2.5000000000000007e-131
112.0	2.5000000000000007e-131
112.2	2.4999999999999997e-131
112.4	2.5000000000000007e-131
112.6	2.5000000000000007e-131
112.8	2.4999999999999997e-131
113.0	2.5000000000000007e-131
113.2	2.5000000000000007e-131
113.4	2.4999999999999987e-131
113.6	2.5000000000000007e-131
113.8	2.5000000000000007e-131
114.0	2.4999999999999997e-131
114.2	2.4999999999999997e-131
114.4	2.5000000000000007e-131
114.6	2.4999999999999997e-131
114.8	2.4999999999999997e-131
115.0	2.4999999999999997e-131
115.2	2.4999999999999997e-131
115.4	2.4999999999999997e-131
115.6	2.4999999999999997e-131
115.8	2.5000000000000007e-131
116.0	2.5000000000000007e-131
116.2	2.4999999999999997e-131
116.4	2.4999999999999997e-131
116.6	2.4999999999999997e-131
116.8	2.4999999999999997e-131
117.0	2.4999999999999997e-131
117.2	2.4999999999999997e-131
117.4	2.5000000000000007e-131
117.6	2.5000000000000007e-131
117.8	2.4999999999999997e-131
118.0	2.5000000000000007e-131
118.2	2.5000000000000007e-131
118.4	2.4999999999999997e-131
118.6	2.5000000000000007e-131
118.8	2.4999999999999997e-131
119.0	2.4999999999999997e-131
119.2	2.5000000000000007e-131
119.4	2.5000000000000007e-131
119.6	2.4999999999999997e-131
119.8	2.5000000000000007e-131
120.0	2.5000000000000007e-131
120.2	2.4999999999999997e-131
120.4	2.4999999999999997e-131
120.6	2.4999999999999997e-131
120.8	2.4999999999999997e-131
121.0	2.4999999999999997e-131
121.2	2.4999999999999997e-131
121.4	2.5000000000000007e-131
121.6	2.4999999999999997e-131
121.8	2.5000000000000007e-131
122.0	2.4999999999999997e-131
122.2	2.5000000000000007e-131
122.4	2.5000000000000007e-131
122.6	2.5000000000000007e-131
122.8	2.4999999999999997e-131
123.0	2.5000000000000007e-131
123.2	2.4999999999999997e-131
123.4	2.4999999999999997e-131
123.6	2.5000000000000007e-131
123.8	2.4999999999999997e-131
124.0	2.5000000000000007e-131
124.2	2.4999999999999997e-131
124.4	2.5000000000000007e-131
124.6	2.4999999999999997e-131
124.8	2.4999999999999997e-131
125.0	2.5000000000000007e-131
125.2	2.5000000000000007e-131
125.4	2.4999999999999997e-131
125.6	2.4999999999999997e-131
125.8	2.5000000000000007e-131
126.0	2.4999999999999997e-131
126.2	2.4999999999999997e-131
126.4	1.6000000000000007e-131
126.6	1.6e-131
126.8	1.6e-131
127.0	1.6e-131
127.2	1.6e-131
127.4	1.6000000000000002e-131
127.6	1.6000000000000002e-131
127.8	1.6e-131
128.0	1.6000000000000002e-131
128.2	1.6000000000000002e-131
128.4	1.6e-131
128.6	1.6e-131
128.8	1.6e-131
129.0	1.6e-131
129.2	1.6e-131
129.4	1.599999999999999e-131
129.6	1.6000000000000002e-131
129.8	1.6e-131
130.0	1.6000000000000002e-131
130.2	1.6e-131
130.4	1.6000000000000002e-131
130.6	1.6e-131
130.8	1.6e-131
131.0	1.6e-131
131.2	1.6e-131
131.4	1.6e-131
131.6	1.6e-131
131.8	1.6e-131
132.0	1.6000000000000002e-131
132.2	1.5999999999999995e-131
132.4	1.6e-131
132.6	1.6e-131
132.8	1.5999999999999995e-131
133.0	1.6e-131
133.2	1.6e-131
133.4	1.6e-131
133.6	1.6000000000000002e-131
133.8	1.6e-131
134.0	1.6e-131
134.2	0.0
134.4	1.6e-131
134.6	1.6e-131
134.8	1.6e-131
135.0	1.5999999999999995e-131
135.2	1.6000000000000002e-131
135.4	1.6000000000000002e-131
135.6	1.6000000000000002e-131
135.8	1.6000000000000002e-131
136.0	1.6000000000000002e-131
136.2	1.6e-131
136.4	1.6e-131
136.6	1.6e-131
136.8	1.6e-131
137.0	1.6000000000000002e-131
137.2	1.6000000000000007e-131
137.4	1.6e-131
137.6	1.6e-131
137.8	1.6e-131
138.0	1.6000000000000002e-131
138.2	1.6e-131
138.4	1.6e-131
138.6	1.6e-131
138.8	1.6e-131
139.0	1.6e-131
139.2	1.6e-131
139.4	1.5999999999999995e-131
139.6	1.6e-131
139.8	1.6000000000000002e-131
140.0	1.6000000000000002e-131
140.2	1.6e-131
140.4	1.6e-131
140.6	1.5999999999999995e-131
140.8	1.6000000000000002e-131
141.0	1.6e-131
141.2	1.6e-131
141.4	1.6e-131
141.6	1.6e-131
141.8	1.6e-131
142.0	1.5999999999999995e-131
142.2	8.999999999999997e-132
142.4	8.999999999999997e-132
142.6	9.000000000000001e-132
142.8	8.999999999999997e-132
143.0	8.999999999999997e-132
143.2	9.000000000000001e-132
143.4	9.000000000000001e-132
143.6	9.000000000000001e-132
143.8	9.000000000000001e-132
144.0	9.000000000000001e-132
144.2	9.000000000000001e-132
144.4	9.000000000000001e-132
144.6	9.000000000000001e-132
144.8	9.000000000000001e-132
145.0	8.999999999999997e-132
145.2	9.000000000000001e-132
145.4	9.000000000000001e-132
145.6	8.999999999999997e-132
145.8	9.000000000000001e-132
146.0	9.000000000000001e-132
146.2	8.999999999999997e-132
146.4	9.000000000000001e-132
146.6	9.000000000000001e-132
146.8	9.000000000000001e-132
147.0	8.999999999999997e-132
147.2	9.000000000000001e-132
147.4	9.000000000000001e-132
147.6	9.000000000000001e-132
147.8	8.999999999999997e-132
148.0	9.000000000000001e-132
148.2	9.000000000000001e-132
148.4	8.999999999999997e-132
148.6	8.999999999999997e-132
148.8	8.999999999999997e-132
149.0	9.000000000000005e-132
149.2	8.999999999999997e-132
149.4	8.999999999999997e-132
149.6	9.000000000000001e-132
149.8	8.999999999999997e-132
150.0	0.0
150.2	9.000000000000001e-132
150.4	9.000000000000001e-132
150.6	9.000000000000001e-132
150.8	9.000000000000001e-132
151.0	9.000000000000001e-132
151.2	9.000000000000001e-132
151.4	9.000000000000001e-132
151.6	8.999999999999997e-132
151.8	9.000000000000001e-132
152.0	9.000000000000001e-132
152.2	9.000000000000001e-132
152.4	8.999999999999997e-132
152.6	9.000000000000001e-132
152.8	9.000000000000001e-132
153.0	8.999999999999997e-132
153.2	9.000000000000001e-132
153.4	9.000000000000001e-132
153.6	9.000000000000001e-132
153.8	8.999999999999997e-132
154.0	8.999999999999997e-132
154.2	8.999999999999997e-132
154.4	9.000000000000001e-132
154.6	9.000000000000001e-132
154.8	8.999999999999997e-132
155.0	9.000000000000001e-132
155.2	8.999999999999997e-132
155.4	8.999999999999997e-132
155.6	9.000000000000001e-132
155.8	9.000000000000001e-132
156.0	9.000000000000001e-132
156.2	4e-132
156.4	4e-132
156.6	4e-132
156.8	4e-132
157.0	4e-132
157.2	4e-132
157.4	4e-132
157.6	4e-132
157.8	4e-132
158.0	4e-132
158.2	3.999999999999999e-132
158.4	4.0000000000000006e-132
158.6	4e-132
158.8	4e-132
159.0	4e-132
159.2	4e-132
159.4	4e-132
159.6	3.999999999999999e-132
159.8	3.999999999999999e-132
160.0	4e-132
160.2	4e-132
160.4	4e-132
160.6	4e-132
160.8	4e-132
161.0	3.9999999999999974e-132
161.2	4.0000000000000006e-132
161.4	4e-132
161.6	3.999999999999999e-132
161.8	4e-132
162.0	0.0
162.2	4e-132
162.4	4e-132
162.6	4e-132
162.8	4e-132
163.0	4e-132
163.2	4e-132
163.4	4e-132
163.6	4e-132
163.8	4e-132
164.0	4e-132
164.2	4e-132
164.4	4e-132
164.60000000000002	4e-132
164.8	4e-132
165.0	4e-132
165.2	4e-132
165.4	4e-132
165.60000000000002	3.999999999999999e-132
165.8	1.0000000000000001e-132
166.0	1e-132
166.2	1.0000000000000001e-132
166.4	9.999999999999997e-133
166.60000000000002	9.999999999999997e-133
166.8	1e-132
167.0	1.0000000000000001e-132
167.2	1e-132
167.4	9.999999999999997e-133
167.60000000000002	9.999999999999997e-133
167.8	1.0000000000000001e-132
168.0	1e-132
168.2	9.999999999999997e-133
168.4	1e-132
168.60000000000002	1e-132
168.8	1e-132
169.0	9.999999999999997e-133
169.2	1.0000000000000005e-132
169.4	1e-132
169.60000000000002	1e-132
169.8	1.0000000000000001e-132
170.0	1.0000000000000001e-132
170.2	1.0000000000000001e-132
170.4	1e-132
170.60000000000002	1.0000000000000001e-132
170.8	1.0000000000000001e-132
171.0	1e-132
171.2	1e-132
171.4	1e-132
171.60000000000002	9.999999999999997e-133
171.8	1e-132
172.0	1.0000000000000001e-132
172.2	1e-132
172.4	1e-132
172.60000000000002	1.0000000000000001e-132
172.8	1e-132
173.0	1e-132
173.2	1e-132
173.4	9.999999999999997e-133
173.60000000000002	1e-132
173.8	9.999999999999997e-133
174.0	1.0000000000000001e-132
174.2	1.0000000000000001e-132
174.4	1e-132
174.60000000000002	1.0000000000000001e-132
174.8	1e-132
175.0	9.999999999999997e-133
175.2	1e-132
175.4	1.0000000000000001e-132
175.60000000000002	1e-132
175.8	9.999999999999997e-133
176.0	9.999999999999997e-133
176.2	1e-132
176.4	1e-132
176.60000000000002	1.0000000000000005e-132
176.8	9.999999999999997e-133
177.0	1e-132
177.2	1e-132
177.4	0.0
177.60000000000002	0.0
177.8	0.0
178.0	0.0
178.2	0.0
178.4	0.0
178.60000000000002	0.0
178.8	0.0
179.0	0.0
179.2	0.0
179.4	0.0
179.60000000000002	0.0
179.8	0.0
180.0	0.0
180.2	0.0
180.4	0.0
180.60000000000002	0.0
180.8	0.0
181.0	0.0
181.2	0.0
181.4	0.0
181.60000000000002	0.0
181.8	0.0
182.0	0.0
182.2	0.0
182.4	0.0
182.60000000000002	0.0
182.8	0.0
183.0	0.0
183.2	0.0
183.4	0.0
183.60000000000002	0.0
183.8	0.0
184.0	0.0
184.2	0.0
184.4	0.0
184.60000000000002	0.0
184.8	0.0
185.0	0.0
185.2	0.0
185.4	0.0
185.60000000000002	0.0
185.8	0.0
186.0	0.0
186.2	0.0
186.4	0.0
186.60000000000002	0.0
186.8	0.0
187.0	0.0
187.2	0.0
187.4	0.0
187.60000000000002	0.0
187.8	0.0
188.0	0.0
188.2	0.0
188.4	0.0
188.60000000000002	0.0
188.8	0.0
189.0	0.0
189.2	0.0
189.4	0.0
189.60000000000002	0.0
189.8	0.0
190.0	0.0
190.2	0.0
190.4	0.0
190.60000000000002	0.0
190.8	0.0
191.0	0.0
191.2	0.0
191.4	0.0
191.60000000000002	0.0
191.8	0.0
192.0	0.0
192.2	0.0
192.4	0.0
192.60000000000002	1e-132
192.8	1e-132
193.0	1.0000000000000001e-132
193.2	1e-132
193.4	1e-132
193.60000000000002	1e-132
193.8	1e-132
194.0	1e-132
194.2	1e-132
194.4	1e-132
194.60000000000002	9.999999999999997e-133
194.8	1.0000000000000001e-132
195.0	9.999999999999997e-133
195.2	1e-132
195.4	1.0000000000000001e-132
195.60000000000002	1e-132
195.8	1.0000000000000001e-132
196.0	1e-132
196.2	9.999999999999997e-133
196.4	1e-132
196.60000000000002	9.999999999999997e-133
196.8	1.0000000000000001e-132
197.0	1e-132
197.2	1e-132
197.4	9.999999999999997e-133
197.60000000000002	9.999999999999997e-133
197.8	1e-132
198.0	1e-132
198.2	1.0000000000000001e-132
198.4	1.0000000000000001e-132
198.60000000000002	1.0000000000000001e-132
198.8	9.999999999999997e-133
199.0	1.0000000000000001e-132
199.2	1.0000000000000001e-132
199.4	1e-132
199.60000000000002	1e-132
199.8	1e-132
