# frequency_THz	R_Zmax(1),Zmax(1)
37.5	0.16566247897937192
37.49593994122427	0.16468363755840204
37.476136363636364	0.1599186795465882
37.45227272727273	0.1541981514411156
37.428409090909085	0.14850155746605023
37.404545454545456	0.1428296375977937
37.38068181818181	0.13718326120603558
37.35681818181818	0.13156348492151682
37.33295454545455	0.12597161622954062
37.309090909090905	0.1204092827257891
37.28522727272726	0.11487850678531714
37.26136363636363	0.10938178516019284
37.237500000000004	0.10392217273139844
37.21363636363636	0.09850336929396211
37.18977272727273	0.0931298078512348
37.16590909090909	0.08780674243991206
37.142045454545446	0.08254033301243661
37.11818181818182	0.07733772438585672
37.09431818181818	0.07220711575242882
37.07045454545455	0.067157816773173
37.0465909090909	0.06220028588622913
37.02272727272727	0.05734614621109868
36.99886363636363	0.05260817437713858
36.975	0.04800025781148767
36.951136363636365	0.04353731654462107
36.92727272727273	0.03923518647562331
36.903409090909086	0.03511046230682905
36.87954545454545	0.031180300000668258
36.85568181818182	0.027462180583353677
36.83181818181817	0.023973639328667914
36.807954545454535	0.0207319666644877
36.78409090909091	0.017753889379506754
36.76022727272727	0.015055242667172819
36.73636363636364	0.012650645021199572
36.7125	0.01055318880428416
36.68863636363636	0.00877415930586158
36.66477272727273	0.0073227942118968565
36.64090909090909	0.006206093641492605
36.617045454545455	0.0054286883646183165
36.59318181818181	0.004992770690441363
36.569318181818176	0.004898089059570482
36.54545454545455	0.0051420038749115035
36.521590909090904	0.005719598854829628
36.49772727272727	0.006623839446331101
36.47386363636363	0.007845767791426799
36.449999999999996	0.009374722514483617
36.42613636363636	0.011198571225222033
36.40227272727273	0.013303944065567744
36.37840909090909	0.01567645775979826
36.354545454545445	0.018300921304950472
36.33068181818182	0.021161516491231956
36.30681818181818	0.024241948699701126
36.28295454545454	0.027525565733244665
36.2590909090909	0.03099544466976
36.23522727272727	0.03463444878676227
36.211363636363636	0.03842525842621791
36.1875	0.04235038120243675
36.163636363636364	0.04639214817467881
36.13977272727273	0.05053270348769588
36.115909090909085	0.05475399550628216
36.092045454545456	0.05903777760876356
36.06818181818183	0.06336562652991108
36.044318181818184	0.0677189854251567
36.02045454545454	0.07207923764085784
35.99659090909091	0.07642781551166648
35.97272727272727	0.08074634638701837
35.948863636363626	0.0850168355770279
35.925	0.08922188311678268
35.90113636363636	0.09334492834499553
35.877272727272725	0.09737051349467797
35.85340909090909	0.10128455505090977
35.82954545454545	0.10507460980285241
35.80568181818182	0.10873012153868868
35.78181818181818	0.1122426343771208
35.757954545454545	0.11560595987770989
35.73409090909091	0.11881628728961822
35.71022727272727	0.12187222942622025
35.68636363636364	0.12477480042471456
35.662499999999994	0.1275273257196787
35.638636363636365	0.13013528854818215
35.61477272727272	0.13260612084882312
35.59090909090908	0.13494894921826467
35.56704545454545	0.1371743084453716
35.54318181818182	0.139293835969999
35.51931818181818	0.14131996044189143
35.49545454545455	0.14326559651401843
35.471590909090914	0.14514385629276041
35.44772727272727	0.1469677857188177
35.423863636363635	0.1487501318041558
35.4	0.15050314431454817
35.37613636363636	0.1522384133339077
35.35227272727273	0.15396674229471355
35.32840909090909	0.155698054574872
