# frequency_THz	|SZmax(1),Zmax(2)|^2
100.0	1.1302394045234946e-12
100.19999694824219	1.0868840652583966e-12
100.4000015258789	1.0451404602836418e-12
100.5999984741211	1.0051732962977932e-12
100.80000305175781	9.671260992456172e-13
101.0	9.311213169887347e-13
101.19999694824219	8.972601610242543e-13
101.4000015258789	8.656193440360688e-13
101.5999984741211	8.36253076645528e-13
101.80000305175781	8.091911632839922e-13
102.0	7.844401501788256e-13
102.19999694824219	7.619829524965621e-13
102.4000015258789	7.41780627878549e-13
102.5999984741211	7.237719970633131e-13
102.80000305175781	7.078757785222868e-13
103.0	6.939922302869156e-13
103.19999694824219	6.820036934709029e-13
103.4000015258789	6.717779797489593e-13
103.5999984741211	6.631689228868254e-13
103.80000305175781	6.560195690944582e-13
104.0	6.50164085895056e-13
104.19999694824219	6.454294117619926e-13
104.4000015258789	6.416387046089637e-13
104.5999984741211	6.386130884032884e-13
104.80000305175781	6.361735932734926e-13
105.0	6.341441611581026e-13
105.19999694824219	6.323530733918164e-13
105.4000015258789	6.306357692039308e-13
105.5999984741211	6.288357211230259e-13
105.80000305175781	6.268070532963146e-13
106.0	6.244160008922671e-13
106.19999694824219	6.215415386552856e-13
106.4000015258789	6.180774688961377e-13
106.5999984741211	6.139325830178918e-13
106.80000305175781	6.090322304389956e-13
107.0	6.033175282992862e-13
107.19999694824219	5.967469991748931e-13
107.4000015258789	5.892956144968494e-13
107.5999984741211	5.809546857653087e-13
107.80000305175781	5.717320754896748e-13
108.0	5.616505548978241e-13
108.19999694824219	5.507479242525053e-13
108.4000015258789	5.390755108845029e-13
108.5999984741211	5.266966711205753e-13
108.80000305175781	5.136865276634679e-13
109.0	5.001294387610133e-13
109.19999694824219	4.861178977671337e-13
109.4000015258789	4.717510063720336e-13
109.5999984741211	4.571333236214385e-13
109.80000305175781	4.4237200825898463e-13
110.0	4.275761299743624e-13
110.19999694824219	4.1285443341590507e-13
110.4000015258789	3.983143391429268e-13
110.5999984741211	3.840600756936539e-13
110.80000305175781	3.701910489425084e-13
111.0	3.568004382016027e-13
111.19999694824219	3.439748799352764e-13
111.4000015258789	3.31792198048291e-13
111.5999984741211	3.20321111626945e-13
111.80000305175781	3.0962018497237127e-13
112.0	2.997374030530786e-13
112.19999694824219	2.9070950671310926e-13
112.4000015258789	2.8256196037059545e-13
112.5999984741211	2.7530857025393734e-13
112.80000305175781	2.6895160176128976e-13
113.0	2.634821022611196e-13
113.19999694824219	2.5888016984794903e-13
113.4000015258789	2.551154098878477e-13
113.5999984741211	2.521479083743037e-13
113.80000305175781	2.4992833575469427e-13
114.0	2.4839986040149045e-13
114.19999694824219	2.474980908110372e-13
114.4000015258789	2.4715265635340473e-13
114.5999984741211	2.4728840963844187e-13
114.80000305175781	2.478265289738287e-13
115.0	2.4868546728556945e-13
115.19999694824219	2.4978236958838766e-13
115.4000015258789	2.510342278681599e-13
115.5999984741211	2.5235925345031247e-13
115.80000305175781	2.536776588896567e-13
116.0	2.549129273657808e-13
116.19999694824219	2.559929411303141e-13
116.4000015258789	2.568503802566321e-13
116.5999984741211	2.5742445829423257e-13
116.80000305175781	2.576605968195443e-13
117.0	2.5751186635082024e-13
117.19999694824219	2.569391120643977e-13
117.4000015258789	2.5591114240318807e-13
117.5999984741211	2.54405575965056e-13
117.80000305175781	2.5240819660285415e-13
118.0	2.499133185050321e-13
118.19999694824219	2.469238811867616e-13
118.4000015258789	2.4345080827429655e-13
118.5999984741211	2.395127296388739e-13
118.80000305175781	2.351355290388699e-13
119.0	2.303519180589846e-13
119.19999694824219	2.2520052509683566e-13
119.4000015258789	2.1972547552784314e-13
119.5999984741211	2.1397526689964398e-13
119.80000305175781	2.0800225884287946e-13
120.0	2.018614592078949e-13
120.19999694824219	1.956099016597967e-13
120.4000015258789	1.8930578147488134e-13
120.5999984741211	1.830072932493921e-13
120.80000305175781	1.7677182868316035e-13
121.0	1.7065537040307575e-13
121.19999694824219	1.647114295940223e-13
121.4000015258789	1.589902766261512e-13
121.5999984741211	1.5353849130577124e-13
121.80000305175781	1.4839809093575625e-13
122.0	1.4360614571439487e-13
122.19999694824219	1.3919424070548336e-13
122.4000015258789	1.351881757194461e-13
122.5999984741211	1.316076471947316e-13
122.80000305175781	1.2846604917448947e-13
123.0	1.2577054432367915e-13
123.19999694824219	1.2352188194522687e-13
123.4000015258789	1.217146248731406e-13
123.5999984741211	1.2033735671542113e-13
123.80000305175781	1.193729944618621e-13
124.0	1.1879895873088458e-13
124.19999694824219	1.1858790180335814e-13
124.4000015258789	1.187080386433455e-13
124.5999984741211	1.1912371328430134e-13
124.80000305175781	1.197960036592189e-13
125.0	1.2068340208090368e-13
125.19999694824219	1.2174253846494263e-13
125.4000015258789	1.2292864336871536e-13
125.5999984741211	1.2419655475489906e-13
125.80000305175781	1.2550110917434704e-13
126.0	1.2679795871065728e-13
126.19999694824219	1.2804416076760128e-13
126.4000015258789	1.2919885175144639e-13
126.5999984741211	1.3022374405684787e-13
126.80000305175781	1.3108363998689888e-13
127.0	1.3174693689508981e-13
127.19999694824219	1.3218607275052016e-13
127.4000015258789	1.3237762398948918e-13
127.5999984741211	1.3230293131568877e-13
127.80000305175781	1.3194788684530598e-13
128.0	1.3130334128966486e-13
128.1999969482422	1.3036504334904242e-13
128.39999389648438	1.2913356122983008e-13
128.60000610351562	1.276141771467169e-13
128.8000030517578	1.2581682929807287e-13
129.0	1.2375562503268001e-13
129.1999969482422	1.2144885444375382e-13
129.39999389648438	1.189183717287495e-13
129.60000610351562	1.1618920564135812e-13
129.8000030517578	1.1328932950125752e-13
130.0	1.1024890590703897e-13
130.1999969482422	1.0709995513544984e-13
130.39999389648438	1.0387581493944875e-13
130.60000610351562	1.0061041186972978e-13
130.8000030517578	9.733812403101631e-14
131.0	9.409280041941583e-14
131.1999969482422	9.09074955666765e-14
131.39999389648438	8.781399776454328e-14
131.60000610351562	8.484226906660643e-14
131.8000030517578	8.202003716532274e-14
132.0	7.93724302596414e-14
132.1999969482422	7.692165377954719e-14
132.39999389648438	7.468667880705285e-14
132.60000610351562	7.268296898243733e-14
132.8000030517578	7.092240893240198e-14
133.0	6.94130817536332e-14
133.1999969482422	6.815926074948766e-14
133.39999389648438	6.716146399672479e-14
133.60000610351562	6.641636211280866e-14
133.8000030517578	6.591705398913602e-14
134.0	6.565319972004228e-14
134.1999969482422	6.561112189422158e-14
134.39999389648438	6.57742437763295e-14
134.60000610351562	6.612328844137073e-14
134.8000030517578	6.663665405107977e-14
135.0	6.729079200053349e-14
135.1999969482422	6.806056185487561e-14
135.39999389648438	6.891973021029567e-14
135.60000610351562	6.98413264131575e-14
135.8000030517578	7.079808163708244e-14
136.0	7.176287920747352e-14
136.1999969482422	7.270912834410665e-14
136.39999389648438	7.361125158278944e-14
136.60000610351562	7.444494021749913e-14
136.8000030517578	7.518761318456248e-14
137.0	7.581869520300356e-14
137.1999969482422	7.631990542678567e-14
137.39999389648438	7.667552814488262e-14
137.60000610351562	7.687254169318021e-14
137.8000030517578	7.690087280261446e-14
138.0	7.675342567127409e-14
138.1999969482422	7.642621264139841e-14
138.39999389648438	7.591828130728666e-14
138.60000610351562	7.523176184412669e-14
138.8000030517578	7.437174479741968e-14
139.0	7.334610721865629e-14
139.1999969482422	7.216549136422306e-14
139.39999389648438	7.084291870846775e-14
139.60000610351562	6.9393590779917e-14
139.8000030517578	6.783472605708722e-14
140.0	6.618520804675846e-14
140.1999969482422	6.44651021985371e-14
140.39999389648438	6.269557114928689e-14
140.60000610351562	6.089834028879654e-14
140.8000030517578	5.909542321351632e-14
141.0	5.730876873486785e-14
141.1999969482422	5.555987240675909e-14
141.39999389648438	5.386948011802837e-14
141.60000610351562	5.225729117115324e-14
141.8000030517578	5.074154772934392e-14
142.0	4.9338878742504644e-14
142.1999969482422	4.8064060560236646e-14
142.39999389648438	4.6929660992352145e-14
142.60000610351562	4.594605633139305e-14
142.8000030517578	4.512116528559254e-14
143.0	4.446038813670775e-14
143.1999969482422	4.3966535883405026e-14
143.39999389648438	4.363986413853592e-14
143.60000610351562	4.3478035128745673e-14
143.8000030517578	4.347621435622274e-14
144.0	4.362718829256008e-14
144.1999969482422	4.392146126395989e-14
144.39999389648438	4.4347433470789604e-14
144.60000610351562	4.48916889894227e-14
144.8000030517578	4.5539064893564323e-14
145.0	4.627308706239291e-14
145.1999969482422	4.707610215158887e-14
145.39999389648438	4.792963538772077e-14
145.60000610351562	4.88146603024654e-14
145.8000030517578	4.971192246058233e-14
146.0	5.0602255229123354e-14
146.1999969482422	5.14668066316396e-14
146.39999389648438	5.228740844568645e-14
146.60000610351562	5.304682122997845e-14
146.8000030517578	5.372900457320281e-14
147.0	5.431932284880951e-14
147.1999969482422	5.4804790609143226e-14
147.39999389648438	5.5174284434827015e-14
147.60000610351562	5.5418638999457116e-14
147.8000030517578	5.553077617750423e-14
148.0	5.5505834799816366e-14
148.1999969482422	5.534123051821834e-14
148.39999389648438	5.5036584393412527e-14
148.60000610351562	5.4593840283052065e-14
148.8000030517578	5.401707930626424e-14
149.0	5.3312511528492666e-14
149.1999969482422	5.248839641155681e-14
149.39999389648438	5.155476447533157e-14
149.60000610351562	5.052334029363346e-14
149.8000030517578	4.940732332778609e-14
150.0	4.822120969921861e-14
150.1999969482422	4.6980404849018474e-14
150.39999389648438	4.5701180199956385e-14
150.60000610351562	4.4400252499070394e-14
150.8000030517578	4.309457087584183e-14
151.0	4.1801038835918173e-14
151.1999969482422	4.0536315399947844e-14
151.39999389648438	3.931640748335076e-14
151.60000610351562	3.815659936114895e-14
151.8000030517578	3.70711042325604e-14
152.0	3.607286498749235e-14
152.1999969482422	3.5173392521991493e-14
152.39999389648438	3.438260049114898e-14
152.60000610351562	3.3708610992089246e-14
152.8000030517578	3.315769425248205e-14
153.0	3.273418029019406e-14
153.1999969482422	3.244036399308465e-14
153.39999389648438	3.22765144449116e-14
153.60000610351562	3.224093902962801e-14
153.8000030517578	3.2329904532641854e-14
154.0	3.253783449466623e-14
154.1999969482422	3.285731578459188e-14
154.39999389648438	3.327928766447331e-14
154.60000610351562	3.3793182856530374e-14
154.8000030517578	3.438708298394969e-14
155.0	3.504797440570404e-14
155.1999969482422	3.576185430321498e-14
155.39999389648438	3.6514063479136615e-14
155.60000610351562	3.7289492442780685e-14
155.8000030517578	3.807278085998055e-14
156.0	3.8848595088214485e-14
156.1999969482422	3.9601880098157494e-14
156.39999389648438	4.031803958816985e-14
156.60000610351562	4.0983249108457376e-14
156.8000030517578	4.158459361417955e-14
157.0	4.2110253523244403e-14
157.1999969482422	4.2549801156351787e-14
157.39999389648438	4.2894189321849775e-14
