# frequency_THz	|S|^2
13.62692990909091	5.1922386423712385e-09
13.650777036431819	4.440266604260558e-09
13.674624163772728	3.750922806308805e-09
13.698471291113638	3.1265279623475328e-09
13.722318418454545	2.5694792155794367e-09
13.746165545795455	2.0822529728130933e-09
13.770012673136364	1.6674078745948592e-09
13.793859800477273	1.3275879102590934e-09
13.817706927818183	1.0655256877014712e-09
13.841554055159092	8.840458685374968e-10
13.865401182500001	7.86068780258223e-10
13.88924830984091	7.746142180408811e-10
13.913095437181818	8.528054500289938e-10
13.936942564522727	1.023873441171913e-09
13.960789691863637	1.2911613121293775e-09
13.984636819204546	1.6581290513099801e-09
14.008483946545455	2.1283584998470487e-09
14.032331073886365	2.7055586312395304e-09
14.056178201227274	3.39357114951965e-09
14.080025328568182	4.19637643218171e-09
14.103872455909091	5.118099846747495e-09
14.12771958325	6.163018472773441e-09
14.15156671059091	7.335568264384621e-09
14.175413837931819	8.640351692060115e-09
14.199260965272728	1.0082145906469286e-08
14.223108092613638	1.1665911471705764e-08
14.246955219954547	1.3396801720346415e-08
14.270802347295454	1.5280172788454273e-08
14.294649474636364	1.7321594395021793e-08
14.318496601977273	1.9526861437489727e-08
14.342343729318182	2.1902006483009737e-08
14.366190856659092	2.4453313244125587e-08
14.390037984000001	2.7187331137693332e-08
14.41388511134091	3.0110891037274134e-08
14.437732238681818	3.32311223421097e-08
14.461579366022727	3.655547150031517e-08
14.485426493363637	4.009172214033149e-08
14.509273620704546	4.384801698325919e-08
14.533120748045455	4.7832881729708734e-08
14.556967875386364	5.205525113867529e-08
14.580815002727274	5.6524497543004394e-08
14.604662130068183	6.125046207682262e-08
14.62850925740909	6.624348892540346e-08
14.65235638475	7.151446294788226e-08
14.67620351209091	7.707485106895635e-08
14.700050639431819	8.293674788794798e-08
14.723897766772728	8.911292601344243e-08
14.747744894113637	9.56168917004981e-08
14.771592021454547	1.0246294644629525e-07
14.795439148795456	1.096662552912656e-07
14.819286276136364	1.1724292267748389e-07
14.843133403477273	1.252100768377478e-07
14.866980530818182	1.3358596382925726e-07
14.890827658159091	1.4239005248916309e-07
14.9146747855	1.516431517793106e-07
14.93852191284091	1.6136754220908092e-07
14.96236904018182	1.7158712328451014e-07
14.986216167522727	1.8232757923540726e-07
15.010063294863636	1.93616565629444e-07
15.033910422204546	2.0548391990279168e-07
15.057757549545455	2.1796189933397287e-07
15.081604676886364	2.3108545057744083e-07
15.105451804227274	2.448925155740147e-07
15.129298931568183	2.5942437949198504e-07
15.15314605890909	2.7472606735389285e-07
15.17699318625	2.9084679720749916e-07
15.20084031359091	3.078404991505316e-07
15.224687440931818	3.257664112764781e-07
15.248534568272728	3.4468976574591764e-07
15.272381695613637	3.6468258079742757e-07
15.296228822954546	3.8582457771492543e-07
15.320075950295456	4.08204245715398e-07
15.343923077636365	4.319200826119786e-07
15.367770204977273	4.570820451990941e-07
15.391617332318182	4.838132509354715e-07
15.415464459659091	5.122519821122684e-07
15.439311587	5.425540558741753e-07
15.46315871434091	5.748956389999317e-07
15.48700584168182	6.094766063052147e-07
15.510852969022729	6.465245673399775e-07
15.534700096363636	6.862997196910217e-07
15.558547223704545	7.291007313809451e-07
15.582394351045455	7.752719133774033e-07
15.606241478386364	8.252120214292195e-07
15.630088605727273	8.793851319296719e-07
15.653935733068183	9.383341802082774e-07
15.677782860409092	1.002697947483149e-06
15.70162998775	1.0732325581198557e-06
15.725477115090909	1.1508389368552734e-06
15.749324242431818	1.2365982292658737e-06
15.773171369772728	1.3318179894530549e-06
15.797018497113637	1.438093113843989e-06
15.820865624454546	1.5573872510462752e-06
15.844712751795456	1.6921430711412092e-06
15.868559879136363	1.8454338711886138e-06
15.892407006477274	2.0211754307219527e-06
15.916254133818182	2.2244273637590958e-06
15.940101261159091	2.4618301688336266e-06
15.9639483885	2.7422526576207744e-06
15.98779551584091	3.0777734662358285e-06
16.01164264318182	3.485206887847043e-06
16.035489770522727	3.988539788040319e-06
16.059336897863638	4.622935436217822e-06
16.083184025204545	5.441499539778889e-06
16.107031152545456	6.526992513326415e-06
16.130878279886364	8.012299886057368e-06
16.154725407227275	1.011494125189903e-05
16.178572534568183	1.3184023868418817e-05
16.20241966190909	1.7691864591058765e-05
16.22626678925	2.3745926190341707e-05
16.25011391659091	2.887479676086783e-05
16.27396104393182	2.6716424683304514e-05
