# frequency_THz	A_Zmax(1)
37.5	0.8783610650979267
37.49593994122427	0.8793224593327372
37.476136363636364	0.8839734762595618
37.45227272727273	0.8894912821877742
37.428409090909085	0.8949107776755526
37.404545454545456	0.9002281558507259
37.38068181818181	0.9054395083866248
37.35681818181818	0.910540825915729
37.33295454545455	0.9155279987827073
37.309090909090905	0.9203968183017325
37.285227272727276	0.9251429786869235
37.26136363636363	0.9297620798129007
37.237500000000004	0.9342496309436114
37.21363636363636	0.9386010555484801
37.18977272727273	0.9428116973091865
37.16590909090909	0.9468768274096285
37.142045454545446	0.9507916531955382
37.11818181818182	0.9545513282879755
37.09431818181818	0.9581509642353189
37.07045454545455	0.9615856437902194
37.0465909090909	0.9648504359004344
37.02272727272727	0.9679404125047059
36.99886363636363	0.9708506672263656
36.975	0.9735763360576536
36.951136363636365	0.9761126201264969
36.92727272727273	0.9784548106342318
36.903409090909086	0.9805983160471663
36.87954545454545	0.9825386916163721
36.85568181818182	0.9842716712881804
36.83181818181817	0.9857932020518452
36.807954545454535	0.987099480749814
36.78409090909091	0.9881869933491974
36.76022727272727	0.9890525566389616
36.73636363636364	0.9896933622749704
36.7125	0.9901070230424779
36.68863636363636	0.9902916211413993
36.66477272727273	0.9902457582216522
36.64090909090909	0.9899686068019939
36.617045454545455	0.9894599625940291
36.59318181818181	0.9887202971214764
36.569318181818176	0.9877508098718356
36.54545454545455	0.9865534790424902
36.521590909090904	0.9851311097463623
36.49772727272727	0.9834873783255363
36.47386363636363	0.9816268711891978
36.449999999999996	0.9795551163521106
36.42613636363636	0.9772786056129074
36.40227272727273	0.974804805093154
36.37840909090909	0.9721421516790413
36.354545454545445	0.9693000327932624
36.33068181818182	0.9662887469056424
36.30681818181818	0.9631194423018392
36.28295454545454	0.9598040319061331
36.2590909090909	0.9563550824322643
36.23522727272727	0.9527856768450838
36.211363636363636	0.9491092500743761
36.1875	0.9453393991319706
36.163636363636364	0.9414896702218544
36.13977272727273	0.9375733270480981
36.115909090909085	0.9336031062310047
36.092045454545456	0.9295909674180076
36.06818181818183	0.9255478471728062
36.044318181818184	0.9214834268756974
36.02045454545454	0.9174059254992383
35.99659090909091	0.9133219280849867
35.97272727272727	0.9092362599316169
35.948863636363626	0.9051519148713632
35.925	0.9010700436042474
35.90113636363636	0.8969900050128693
35.877272727272725	0.8929094799156707
35.85340909090909	0.8888246431195828
35.82954545454545	0.8847303862231495
35.80568181818182	0.8806205807104526
35.78181818181818	0.8764883687281784
35.757954545454545	0.8723264677339166
35.73409090909091	0.8681274750190423
35.71022727272727	0.8638841589096617
35.68636363636364	0.8595897250991323
35.662499999999994	0.8552380488551342
35.638636363636365	0.8508238665199377
35.61477272727272	0.8463429225229728
35.59090909090908	0.8417920708123687
35.56704545454545	0.8371693319953105
35.54318181818182	0.832473909424611
35.51931818181818	0.8277061689120546
35.49545454545455	0.822867587677168
35.471590909090914	0.8179606785886167
35.44772727272727	0.8129888957926354
35.423863636363635	0.807956527535147
35.4	0.8028685814629541
35.37613636363636	0.7977306670214235
35.35227272727273	0.7925488788260507
35.32840909090908	0.7873296841323159
35.30454545454546	0.7820798168043178
35.28068181818182	0.7768061795144794
35.256818181818176	0.7715157553078674
35.23295454545454	0.7662155291395714
35.209090909090904	0.7609124195415686
35.185227272727275	0.7556132201925667
35.16136363636363	0.7503245508468994
35.137499999999996	0.7450528168226885
35.11363636363637	0.7398041760512166
35.08977272727273	0.734584512543719
35.06590909090908	0.7293994150310789
35.042045454545445	0.7242541594665551
35.01818181818182	0.7191536940396709
34.99431818181817	0.7141026253180236
34.97045454545455	0.7091052041007377
34.9465909090909	0.7041653095228144
34.922727272727265	0.6992864298875625
34.898863636363636	0.6944716386236484
34.87500000000001	0.6897235636702317
34.85113636363636	0.6850443485031282
34.82727272727273	0.6804356029565727
34.803409090909085	0.6758983420205068
34.77954545454545	0.671432910993296
34.75568181818181	0.6670388959043726
34.73181818181818	0.6627150192792715
34.70795454545454	0.6584590236307013
34.684090909090905	0.6542675495160228
34.660227272727276	0.6501360234920174
34.63636363636364	0.6460585874632713
34.6125	0.6420281318470007
34.58863636363636	0.6380365544995019
34.564772727272725	0.6340754823015294
34.54090909090909	0.6301379134296424
34.517045454545446	0.6262216554794343
34.49318181818182	0.6223361806421779
34.46931818181818	0.6185156805814983
34.445454545454545	0.6148422208386908
34.42159090909091	0.6114811410602148
34.39772727272728	0.6087167148438116
34.37386363636363	0.6069325845264754
34.35000000000001	0.606426193984885
34.32613636363637	0.6070469708047032
34.30227272727272	0.6080424698239008
34.27840909090909	0.6085109030473655
34.25454545454546	0.6079868134072175
34.230681818181814	0.6065043867141932
34.20681818181817	0.6043179450642073
34.18295454545455	0.6016838607581637
34.15909090909091	0.5987882557728663
34.13522727272727	0.5957490516229282
34.111363636363635	0.5926362730808438
34.0875	0.5894901239024842
34.063636363636355	0.5863331665769276
34.03977272727273	0.5831777223209441
34.01590909090909	0.580030163048184
33.992045454545455	0.5768933428097617
33.96818181818181	0.5737679551508297
33.944318181818176	0.5706532819078814
33.92045454545455	0.5675476027402625
33.89659090909091	0.5644484207987958
33.872727272727275	0.5613525954617178
33.84886363636363	0.5582564372254435
33.824999999999996	0.5551558003823499
33.80113636363637	0.5520461989406807
33.777272727272724	0.548922966080559
33.753409090909095	0.545781474486984
33.72954545454545	0.5426174319841911
33.705681818181816	0.5394272620373768
33.68181818181818	0.5362085699645361
33.657954545454544	0.5329606814391014
33.63409090909091	0.5296852192241954
33.61022727272727	0.5263866580454677
33.58636363636363	0.5230727700582085
33.5625	0.5197548522414063
33.538636363636364	0.5164476231742495
33.51477272727272	0.5131687011544288
33.490909090909085	0.5099376344129639
33.467045454545456	0.5067745417787555
33.44318181818182	0.5036985185412923
33.41931818181818	0.5007260368510265
33.39545454545454	0.4978695932979465
33.37159090909091	0.4951368145088588
33.34772727272727	0.4925301352600675
33.32386363636364	0.4900470440818615
33.3	0.4876807864460174
33.27613636363636	0.48542135311913953
33.252272727272725	0.4832565694753118
33.22840909090909	0.48117313078929713
33.20454545454545	0.4791574796516706
33.18068181818181	0.4771964757034751
33.156818181818174	0.4752778520739672
33.132954545454545	0.4733904819369322
33.10909090909091	0.47152449297269
33.08522727272727	0.46967127076124976
33.06136363636364	0.4678233884863091
33.0375	0.4659744934214737
33.013636363636365	0.4641191730031644
