# frequency_THz	T_Zmax(2),Zmax(1)
37.5	1.0007781717731298e-05
37.49593994122427	1.0113589293445638e-05
37.476136363636364	1.0681236612706026e-05
37.45227272727273	1.1476046853901931e-05
37.428409090909085	1.2383827716773368e-05
37.404545454545456	1.3391843891249926e-05
37.38068181818181	1.448439816755875e-05
37.35681818181818	1.5644411191055785e-05
37.33295454545455	1.6854915101777908e-05
37.309090909090905	1.810025268006755e-05
37.285227272727276	1.9366876854948206e-05
37.26136363636363	2.0643744200486435e-05
37.237500000000004	2.1922365231311165e-05
37.21363636363636	2.319660694518809e-05
37.18977272727273	2.4462345518818835e-05
37.16590909090909	2.5717051218371e-05
37.142045454545446	2.6959364683075066e-05
37.11818181818182	2.8188701513478626e-05
37.09431818181818	2.94049044939981e-05
37.07045454545455	3.0607950964624355e-05
37.0465909090909	3.179771644902276e-05
37.02272727272727	3.297379369578072e-05
36.99886363636363	3.4135367863621974e-05
36.975	3.5281153030940435e-05
36.951136363636365	3.640940222252276e-05
36.92727272727273	3.751801265875971e-05
36.90340909090908	3.860475992551795e-05
36.87954545454545	3.966770889864026e-05
36.85568181818182	4.07058642841211e-05
36.83181818181817	4.172013645616544e-05
36.807954545454535	4.2714702646059315e-05
36.78409090909091	4.369882859201326e-05
36.76022727272727	4.468916516719015e-05
36.73636363636364	4.571242803990376e-05
36.7125	4.680818915894506e-05
36.68863636363636	4.803125945265206e-05
36.66477272727273	4.9452870393291573e-05
36.64090909090909	5.115968521449619e-05
36.617045454545455	5.324976980589681e-05
36.59318181818181	5.582520074318289e-05
36.569318181818176	5.898199706150486e-05
36.54545454545455	6.279924169370207e-05
36.521590909090904	6.733003440694921e-05
36.49772727272727	7.259673770021996e-05
36.47386363636363	7.859174066288406e-05
36.449999999999996	8.528320558404447e-05
36.42613636363636	9.262383047292464e-05
36.40227272727273	0.00010056015891960165
36.37840909090909	0.00010904041169432263
36.354545454545445	0.00011801976039128243
36.33068181818182	0.00012746289454470196
36.30681818181818	0.00013734434189378525
36.28295454545454	0.0001476472378465904
36.2590909090909	0.00015836121074273163
36.23522727272727	0.00016947989376390698
36.211363636363636	0.00018099839660921444
36.1875	0.00019291092434737476
36.163636363636364	0.00020520863314893976
36.13977272727273	0.00021787775845581123
36.115909090909085	0.00023089802880215044
36.092045454545456	0.0002442413758439596
36.068181818181806	0.0002578709583374999
36.044318181818184	0.00027174052761263443
36.02045454545454	0.0002857941694681805
35.99659090909091	0.00029996645894650854
35.97272727272727	0.00031418305798686124
35.948863636363626	0.00032836177056536975
35.925	0.0003424140459277556
35.90113636363636	0.00035624688960132214
35.877272727272725	0.0003697651071001842
35.85340909090909	0.00038287377082522997
35.82954545454545	0.0003954807714710438
35.80568181818182	0.00040749929605584073
35.78181818181818	0.000418850069295408
35.757954545454545	0.00042946320549737
35.73409090909091	0.0004392795442349722
35.71022727272727	0.0004482513822027186
35.68636363636364	0.0004563425613717938
35.662499999999994	0.00046352792427336
35.638636363636365	0.0004697921953068082
35.61477272727272	0.0004751283876921852
35.59090909090907	0.0004795358659857319
35.56704545454545	0.00048301821279660883
35.54318181818182	0.0004855810560838842
35.51931818181818	0.00048723001203107433
35.49545454545455	0.0004879688903896015
35.471590909090914	0.0004877982965499027
35.44772727272727	0.0004867147488045666
35.423863636363635	0.00048471041042956415
35.4	0.0004817735130788936
35.37613636363636	0.0004778895181710297
35.35227272727273	0.0004730430235090258
35.32840909090909	0.00046722037083332343
35.30454545454546	0.0004604128456305375
35.28068181818182	0.0004526202857826889
35.256818181818176	0.0004438548374006574
35.23295454545454	0.0004341445261009299
35.209090909090904	0.0004235362655328067
35.185227272727275	0.0004120979186944894
35.16136363636363	0.0003999190747445287
35.137499999999996	0.00038711030953393134
35.11363636363637	0.00037380085449091393
35.08977272727273	0.00036013478484639807
35.06590909090908	0.0003462660231873073
35.042045454545445	0.0003323526033993872
35.01818181818182	0.00031855072447843933
34.99431818181817	0.000305009128504718
34.97045454545455	0.0002918642650040292
34.9465909090909	0.0002792365737799393
34.922727272727265	0.0002672280588636893
